Galaksi,Tip_T,Tip_ad,Sinif,N_nokta,Q,Inc_deg,D_Mpc,Vflat_kms
UGC06446,7,Sd,04_cok_gec_spiral,17,1,51.0,12.00,82.2
UGC06930,7,Sd,04_cok_gec_spiral,10,1,32.0,18.00,107.2
UGC07603,7,Sd,04_cok_gec_spiral,12,1,78.0,4.70,61.6
UGC08550,7,Sd,04_cok_gec_spiral,11,1,90.0,6.70,56.9
F583-1,9,Sm,05_macellan,25,1,63.0,35.40,85.8
IC2574,9,Sm,05_macellan,34,2,75.0,3.91,66.4
NGC0055,9,Sm,05_macellan,21,2,77.0,2.11,85.6
NGC3109,9,Sm,05_macellan,25,1,70.0,1.33,66.2
UGC00128,8,Sdm,05_macellan,22,1,57.0,64.50,129.3
UGC00191,9,Sm,05_macellan,9,1,45.0,17.10,0.0
UGC01281,8,Sdm,05_macellan,25,1,90.0,5.27,55.2
UGC02259,8,Sdm,05_macellan,8,2,41.0,10.50,86.2
UGC04325,9,Sm,05_macellan,8,1,41.0,9.60,90.9
UGC04499,8,Sdm,05_macellan,9,1,50.0,12.50,72.8
UGC05716,9,Sm,05_macellan,12,2,54.0,21.30,73.1
UGC05750,8,Sdm,05_macellan,11,1,64.0,58.70,0.0
UGC05986,9,Sm,05_macellan,15,2,90.0,8.63,113.0
UGC06399,9,Sm,05_macellan,9,1,75.0,18.00,85.0
UGC06818,9,Sm,05_macellan,8,2,75.0,18.00,71.2
UGC06917,9,Sm,05_macellan,11,1,56.0,18.00,108.7
UGC07089,8,Sdm,05_macellan,12,2,80.0,18.00,0.0
UGC07125,9,Sm,05_macellan,13,1,90.0,19.80,65.2
UGC07261,8,Sdm,05_macellan,7,2,30.0,13.10,74.7
UGC07399,8,Sdm,05_macellan,10,1,55.0,8.43,103.0
UGC07524,9,Sm,05_macellan,31,1,46.0,4.74,79.5
UGC08490,9,Sm,05_macellan,30,1,50.0,4.65,78.6
UGC10310,9,Sm,05_macellan,7,1,34.0,15.20,71.4
UGC11557,8,Sdm,05_macellan,12,2,30.0,24.20,0.0
