Galaksi,Sinif,R_kpc,F4_payi,Sigma_yildiz_Msun_pc2,gaz_kesri,G_yerel_bolu_G
NGC3949,Sb–Sbc,4.37,0.286,54.35,0.056,0.9122
NGC3949,Sb–Sbc,5.24,0.319,29.72,0.080,1.0235
NGC3953,Sb–Sbc,3.50,0.000,249.17,0.000,1.5726
NGC3953,Sb–Sbc,5.24,0.239,173.68,0.000,1.4055
NGC3953,Sb–Sbc,6.98,0.289,134.06,0.000,1.3704
NGC3953,Sb–Sbc,8.72,0.303,91.36,0.003,1.2271
NGC3953,Sb–Sbc,10.47,0.323,59.32,0.012,1.1427
NGC3953,Sb–Sbc,12.19,0.346,31.43,0.028,1.1110
NGC3972,Sb–Sbc,0.87,0.000,127.41,0.000,1.3505
NGC3992,Sb–Sbc,9.19,0.000,106.08,0.000,2.5857
NGC3992,Sb–Sbc,13.79,0.291,61.72,0.001,1.8769
NGC4013,Sb–Sbc,5.49,0.000,133.93,0.000,1.5294
NGC4013,Sb–Sbc,6.17,0.135,107.87,0.004,1.2539
NGC4013,Sb–Sbc,6.92,0.179,77.37,0.013,1.1436
NGC4013,Sb–Sbc,7.69,0.206,57.61,0.021,1.1080
NGC4013,Sb–Sbc,8.36,0.225,40.00,0.026,1.0973
NGC4013,Sb–Sbc,9.12,0.244,24.97,0.031,1.1145
NGC4013,Sb–Sbc,9.88,0.265,10.50,0.036,1.1336
NGC4013,Sb–Sbc,10.56,0.287,4.86,0.039,1.1712
NGC4013,Sb–Sbc,11.31,0.309,2.34,0.042,1.2485
NGC4013,Sb–Sbc,12.08,0.331,1.45,0.048,1.3585
NGC4013,Sb–Sbc,12.77,0.349,0.90,0.053,1.4512
NGC4051,Sb–Sbc,1.74,0.000,197.58,0.000,1.0252
NGC4051,Sb–Sbc,3.50,0.348,127.75,0.000,0.8640
NGC4088,Sb–Sbc,1.74,0.000,395.02,0.000,0.7667
NGC4088,Sb–Sbc,3.50,0.320,326.46,0.000,0.6672
NGC4088,Sb–Sbc,5.24,0.284,234.56,0.010,0.4979
NGC4088,Sb–Sbc,6.98,0.286,102.95,0.028,0.4930
NGC4088,Sb–Sbc,8.72,0.336,47.70,0.057,0.5472
NGC4100,Sb–Sbc,2.61,0.040,175.63,0.004,1.7598
NGC4100,Sb–Sbc,3.50,0.308,168.34,0.009,1.9308
NGC4100,Sb–Sbc,4.37,0.340,156.37,0.015,1.8755
NGC4100,Sb–Sbc,5.24,0.324,139.00,0.017,1.5771
NGC4100,Sb–Sbc,6.11,0.314,106.50,0.019,1.3692
NGC4100,Sb–Sbc,6.98,0.314,61.88,0.021,1.2612
NGC4100,Sb–Sbc,7.85,0.343,32.41,0.027,1.3494
NGC4157,Sb–Sbc,1.74,0.022,561.94,0.003,0.7536
NGC4157,Sb–Sbc,3.50,0.251,329.13,0.011,0.6278
NGC4157,Sb–Sbc,5.24,0.286,176.47,0.015,0.8340
NGC4157,Sb–Sbc,6.98,0.306,99.09,0.019,0.8295
NGC4157,Sb–Sbc,8.72,0.318,54.38,0.028,0.7526
NGC4217,Sb–Sbc,0.87,0.006,2847.96,0.001,0.1303
NGC4217,Sb–Sbc,1.74,0.221,1800.98,0.004,0.0036
NGC4217,Sb–Sbc,2.61,0.218,914.17,0.004,0.1589
NGC4217,Sb–Sbc,3.50,0.220,235.92,0.003,0.2078
NGC4217,Sb–Sbc,4.37,0.247,74.25,0.005,0.2890
NGC4217,Sb–Sbc,5.24,0.275,43.88,0.009,0.3288
NGC4217,Sb–Sbc,6.11,0.299,34.09,0.014,0.4407
NGC4217,Sb–Sbc,6.98,0.321,25.08,0.013,0.4891
NGC4217,Sb–Sbc,7.85,0.337,15.08,0.018,0.5489
NGC5005,Sb–Sbc,0.49,0.035,9128.44,0.092,0.9517
NGC5005,Sb–Sbc,0.98,0.119,2418.80,0.086,0.6829
NGC5005,Sb–Sbc,1.47,0.149,1195.67,0.074,0.6460
NGC5005,Sb–Sbc,1.97,0.175,983.92,0.066,0.7245
NGC5005,Sb–Sbc,2.46,0.190,785.90,0.062,0.7845
NGC5005,Sb–Sbc,2.95,0.200,580.90,0.080,0.7359
NGC5005,Sb–Sbc,3.44,0.209,433.94,0.093,0.8461
NGC5005,Sb–Sbc,3.93,0.222,321.75,0.090,0.8411
NGC5005,Sb–Sbc,4.42,0.236,280.37,0.083,0.8561
NGC5005,Sb–Sbc,4.92,0.246,241.19,0.077,0.8643
NGC5005,Sb–Sbc,5.74,0.260,193.71,0.070,0.8976
NGC5005,Sb–Sbc,6.56,0.272,139.44,0.066,0.9201
NGC5005,Sb–Sbc,7.37,0.286,104.41,0.066,0.9544
NGC5005,Sb–Sbc,8.19,0.298,84.54,0.068,0.9813
NGC5005,Sb–Sbc,9.01,0.308,62.27,0.069,0.9942
NGC5005,Sb–Sbc,9.83,0.321,40.35,0.070,1.0184
NGC5005,Sb–Sbc,10.65,0.338,24.64,0.069,1.0821
NGC5055,Sb–Sbc,0.72,0.003,2039.96,0.000,0.7663
NGC5055,Sb–Sbc,1.43,0.183,1043.96,0.000,0.6865
NGC5055,Sb–Sbc,2.16,0.208,748.55,0.000,0.6513
NGC5055,Sb–Sbc,2.87,0.218,448.99,0.001,0.6661
NGC5055,Sb–Sbc,3.59,0.248,309.04,0.001,0.6566
NGC5055,Sb–Sbc,4.30,0.266,259.09,0.001,0.6123
NGC5055,Sb–Sbc,5.03,0.278,209.14,0.002,0.6287
NGC5055,Sb–Sbc,5.75,0.286,173.56,0.005,0.6534
NGC5055,Sb–Sbc,6.46,0.290,131.19,0.009,0.6455
NGC5055,Sb–Sbc,7.18,0.304,102.75,0.013,0.6449
NGC5055,Sb–Sbc,7.91,0.317,80.44,0.018,0.6682
NGC5055,Sb–Sbc,8.62,0.329,64.56,0.022,0.6735
NGC5371,Sb–Sbc,1.45,0.000,789.73,0.000,1.6079
NGC5371,Sb–Sbc,2.88,0.227,362.56,0.000,1.4163
NGC5371,Sb–Sbc,4.33,0.286,293.33,0.000,1.2662
NGC5371,Sb–Sbc,5.78,0.316,215.58,0.000,1.0788
NGC5371,Sb–Sbc,7.22,0.346,178.02,0.000,1.0068
NGC5985,Sb–Sbc,3.54,0.000,170.20,0.000,3.2085
NGC5985,Sb–Sbc,4.23,0.207,149.31,0.000,3.2868
NGC5985,Sb–Sbc,4.97,0.281,143.26,0.000,3.8095
NGC5985,Sb–Sbc,5.74,0.324,136.22,0.000,3.9007
NGC5985,Sb–Sbc,6.47,0.349,129.91,0.000,3.7763
NGC6195,Sb–Sbc,1.33,0.000,2385.14,0.000,0.7531
NGC6195,Sb–Sbc,2.34,0.175,1120.27,0.000,0.9027
NGC6195,Sb–Sbc,3.33,0.213,715.07,0.000,0.8810
NGC6195,Sb–Sbc,4.34,0.237,470.68,0.000,0.7639
NGC6195,Sb–Sbc,5.35,0.257,354.00,0.000,0.7083
NGC6195,Sb–Sbc,6.34,0.270,262.45,0.000,0.6090
NGC6195,Sb–Sbc,7.34,0.281,188.31,0.000,0.5849
NGC6195,Sb–Sbc,8.32,0.294,137.86,0.000,0.7010
NGC6195,Sb–Sbc,9.34,0.309,115.99,0.004,0.7152
NGC6195,Sb–Sbc,10.38,0.321,98.97,0.012,0.6519
NGC6195,Sb–Sbc,11.36,0.332,82.65,0.022,0.7440
NGC6195,Sb–Sbc,12.34,0.345,73.96,0.035,0.6744
NGC6674,Sb–Sbc,2.50,0.000,343.14,0.000,1.5076
NGC6674,Sb–Sbc,7.49,0.322,141.07,0.000,2.1688
NGC7331,Sb–Sbc,2.67,0.000,1014.71,0.000,0.7692
NGC7331,Sb–Sbc,3.21,0.094,847.72,0.000,0.7001
NGC7331,Sb–Sbc,3.74,0.116,604.78,0.000,0.6848
NGC7331,Sb–Sbc,4.27,0.134,439.71,0.000,0.6670
NGC7331,Sb–Sbc,4.81,0.149,359.49,0.000,0.6803
NGC7331,Sb–Sbc,5.35,0.159,279.19,0.000,0.6871
NGC7331,Sb–Sbc,5.88,0.173,207.76,0.000,0.7018
NGC7331,Sb–Sbc,6.41,0.184,167.31,0.000,0.7140
NGC7331,Sb–Sbc,7.48,0.208,98.47,0.002,0.7611
NGC7331,Sb–Sbc,8.55,0.237,62.85,0.005,0.8315
NGC7331,Sb–Sbc,9.62,0.259,54.38,0.010,0.8208
NGC7331,Sb–Sbc,10.66,0.278,39.85,0.016,0.8577
NGC7331,Sb–Sbc,11.74,0.299,34.44,0.025,0.8958
NGC7331,Sb–Sbc,12.83,0.315,27.54,0.035,0.9058
NGC7331,Sb–Sbc,13.91,0.332,21.71,0.045,0.9166
NGC7331,Sb–Sbc,15.00,0.349,17.68,0.053,0.9089
F571-8,Sc–Scd,0.22,0.021,923.28,0.001,0.1883
F583-4,Sc–Scd,0.22,0.334,34.59,0.014,6.7233
NGC0024,Sc–Scd,0.21,0.125,205.38,0.013,1.5934
NGC0100,Sc–Scd,0.23,0.000,71.32,0.000,1.0078
NGC0801,Sc–Scd,1.17,0.006,1452.93,0.000,0.8907
NGC0801,Sc–Scd,1.56,0.182,1152.02,0.001,0.6856
NGC0801,Sc–Scd,1.96,0.208,935.14,0.001,1.2929
NGC0801,Sc–Scd,2.73,0.223,656.86,0.001,1.1962
NGC0801,Sc–Scd,3.52,0.234,412.80,0.001,1.1209
NGC1003,Sc–Scd,1.25,0.048,87.86,0.003,1.3064
NGC2403,Sc–Scd,0.16,0.000,552.89,0.000,2.2285
NGC2976,Sc–Scd,0.11,0.148,200.62,0.015,0.4603
NGC2998,Sc–Scd,0.33,0.000,1035.14,0.000,8.1588
NGC2998,Sc–Scd,3.63,0.343,351.27,0.002,1.5616
NGC3198,Sc–Scd,0.32,0.000,542.46,0.000,0.2974
NGC3726,Sc–Scd,3.50,0.000,183.97,0.000,1.0890
NGC3726,Sc–Scd,5.24,0.315,100.22,0.000,0.7032
NGC3726,Sc–Scd,6.98,0.348,78.14,0.005,0.7876
NGC3877,Sc–Scd,0.87,0.000,376.87,0.000,0.2754
NGC3877,Sc–Scd,1.74,0.346,236.53,0.000,0.4408
NGC3893,Sc–Scd,1.74,0.039,519.38,0.015,0.9720
NGC3893,Sc–Scd,3.50,0.251,164.02,0.014,1.0122
NGC3893,Sc–Scd,5.24,0.293,68.50,0.033,1.2133
NGC3917,Sc–Scd,0.87,0.000,94.33,0.000,0.9298
NGC4085,Sc–Scd,0.87,0.000,444.10,0.000,0.3963
NGC4085,Sc–Scd,1.74,0.304,229.81,0.015,0.3147
NGC4085,Sc–Scd,2.71,0.337,128.52,0.012,0.7070
NGC4183,Sc–Scd,0.87,0.098,80.11,0.008,2.7610
NGC4559,Sc–Scd,0.67,0.000,261.99,0.000,1.1029
NGC5033,Sc–Scd,0.76,0.001,3614.38,0.000,0.7255
NGC5033,Sc–Scd,2.28,0.189,616.94,0.000,0.5810
NGC5033,Sc–Scd,3.80,0.241,153.62,0.001,0.7036
NGC5033,Sc–Scd,5.33,0.292,68.92,0.007,0.8622
NGC5033,Sc–Scd,6.85,0.339,31.89,0.015,1.0292
NGC5907,Sc–Scd,5.03,0.000,187.32,0.000,2.8634
NGC5907,Sc–Scd,7.55,0.302,122.09,0.000,1.8181
NGC5907,Sc–Scd,10.07,0.334,83.85,0.000,1.6412
NGC6015,Sc–Scd,0.34,0.000,467.31,0.000,1.4393
NGC6503,Sc–Scd,0.76,0.048,417.37,0.006,2.3051
NGC6503,Sc–Scd,1.52,0.300,281.64,0.008,0.8787
NGC6503,Sc–Scd,2.28,0.308,112.80,0.009,0.7324
NGC6946,Sc–Scd,0.19,0.000,4341.86,0.000,0.6099
NGC6946,Sc–Scd,0.56,0.142,1013.06,0.000,0.6080
NGC6946,Sc–Scd,0.94,0.209,556.17,0.001,0.6788
NGC6946,Sc–Scd,1.22,0.242,492.56,0.002,0.7917
NGC6946,Sc–Scd,1.59,0.269,401.21,0.003,0.6714
NGC6946,Sc–Scd,1.96,0.293,339.70,0.003,0.6635
NGC6946,Sc–Scd,2.34,0.303,320.63,0.003,0.7022
NGC6946,Sc–Scd,2.71,0.300,264.90,0.002,0.6174
NGC6946,Sc–Scd,2.99,0.308,235.81,0.002,0.6467
NGC6946,Sc–Scd,3.37,0.314,202.22,0.003,0.6402
NGC6946,Sc–Scd,3.74,0.322,174.44,0.006,0.7257
NGC6946,Sc–Scd,4.12,0.329,159.69,0.008,0.7982
NGC6946,Sc–Scd,4.40,0.330,150.01,0.009,0.8569
NGC6946,Sc–Scd,4.77,0.331,133.94,0.010,0.9003
NGC6946,Sc–Scd,5.15,0.331,120.98,0.014,0.8940
NGC6946,Sc–Scd,5.52,0.327,104.00,0.018,0.8590
NGC6946,Sc–Scd,5.89,0.332,70.85,0.023,0.8731
NGC6946,Sc–Scd,6.17,0.343,63.09,0.028,0.8746
NGC6946,Sc–Scd,6.55,0.349,61.97,0.034,0.8830
UGC02885,Sc–Scd,1.70,0.000,1261.37,0.000,1.7313
UGC02885,Sc–Scd,3.41,0.184,440.76,0.000,1.0750
UGC02885,Sc–Scd,6.82,0.281,181.57,0.000,1.0356
UGC06667,Sc–Scd,0.87,0.000,5.39,0.000,29.5516
UGC06983,Sc–Scd,1.74,0.000,49.45,0.000,1.9564
UGC07151,Sc–Scd,0.50,0.000,83.79,0.000,1.9075
UGC08286,Sc–Scd,0.47,0.000,41.24,0.000,4.2697
UGC09037,Sc–Scd,2.43,0.061,201.18,0.013,0.3450
UGC09037,Sc–Scd,3.65,0.295,117.60,0.018,0.2785
UGC11455,Sc–Scd,0.62,0.009,936.79,0.000,0.4767
UGC11455,Sc–Scd,7.38,0.330,282.88,0.000,0.7368
UGC11455,Sc–Scd,8.00,0.323,235.51,0.000,0.7432
UGC11455,Sc–Scd,8.62,0.330,204.10,0.000,0.8701
UGC11455,Sc–Scd,9.23,0.332,194.75,0.001,0.8980
UGC11455,Sc–Scd,9.85,0.330,179.25,0.006,0.9124
UGC11455,Sc–Scd,10.43,0.329,164.07,0.009,0.8901
UGC11455,Sc–Scd,11.05,0.330,147.78,0.011,1.0176
UGC11455,Sc–Scd,11.67,0.331,134.60,0.012,0.9690
UGC11455,Sc–Scd,12.19,0.331,124.62,0.011,0.9174
UGC11455,Sc–Scd,12.91,0.333,110.44,0.010,0.9776
UGC11455,Sc–Scd,14.56,0.340,77.02,0.010,1.0143
UGC12506,Sc–Scd,0.82,0.307,206.62,0.110,18.6212
ESO116-G012,Sd,0.25,0.000,138.47,0.000,2.9098
F568-3,Sd,0.64,0.267,33.77,0.015,1.2823
F568-V1,Sd,0.39,0.000,49.91,0.000,4.1025
F574-1,Sd,0.47,0.068,52.30,0.001,2.6992
NGC0247,Sd,1.08,0.298,33.01,0.032,4.2857
NGC0300,Sd,0.91,0.000,45.25,0.000,2.2055
NGC4010,Sd,0.87,0.000,127.88,0.000,2.8800
NGC5585,Sd,0.09,0.041,329.42,0.001,1.5058
NGC7793,Sd,0.11,0.021,604.49,0.001,0.2021
UGC04278,Sd,0.14,0.000,39.67,0.000,3.2601
UGC05721,Sd,0.09,0.087,328.96,0.011,1.8522
UGC06446,Sd,0.58,0.000,37.40,0.000,4.2986
UGC06930,Sd,1.74,0.000,44.22,0.000,2.1612
UGC07603,Sd,0.34,0.298,53.40,0.086,1.3793
F583-1,Sdm–Sm,0.26,0.000,17.14,0.000,16.9824
IC2574,Sdm–Sm,0.85,0.000,8.38,0.000,2.3071
UGC00128,Sdm–Sm,1.25,0.137,40.59,0.007,2.5139
UGC00191,Sdm–Sm,0.62,0.176,46.65,0.014,3.4976
UGC02259,Sdm–Sm,1.02,0.317,27.20,0.052,9.4180
UGC04325,Sdm–Sm,0.70,0.275,43.71,0.036,7.0975
UGC04499,Sdm–Sm,0.91,0.000,30.34,0.000,1.5240
UGC05986,Sdm–Sm,0.63,0.000,95.45,0.000,1.6685
UGC06399,Sdm–Sm,0.87,0.304,30.20,0.036,2.4208
UGC06818,Sdm–Sm,0.87,0.214,38.33,0.025,1.1447
UGC06917,Sdm–Sm,1.74,0.000,42.02,0.000,2.2153
UGC07261,Sdm–Sm,0.95,0.254,48.55,0.037,5.1405
UGC07399,Sdm–Sm,0.61,0.140,65.72,0.017,4.1620
UGC07524,Sdm–Sm,0.35,0.000,27.14,0.000,1.7428
UGC08490,Sdm–Sm,0.34,0.047,123.37,0.002,3.8188
UGC11820,Sdm–Sm,0.26,0.000,38.40,0.000,7.0395
UGC12632,Sdm–Sm,0.71,0.183,16.68,0.006,5.4885
UGC12732,Sdm–Sm,0.96,0.228,22.30,0.015,5.0925
DDO064,Im,0.10,0.000,14.25,0.000,61.4444
UGC05414,Im,0.68,0.143,31.58,0.006,2.1191
UGC05829,Im,0.63,0.000,8.28,0.000,9.5411
UGC06923,Im,0.93,0.191,69.69,0.063,0.9634
UGC07577,Im,0.19,0.000,7.18,0.000,5.3667
UGC07690,Im,0.59,0.099,90.30,0.017,1.8165
UGC08837,Im,0.52,0.000,16.13,0.000,1.0874
