Galaksi,Sinif,R_kpc,Sigma_yildiz_Msun_pc2,g_bar_ms2,F4_payi,bastirma_s,M_tut_bolu_m_n
UGC06787,Sa–Sab,24.79,0.91,1.586e-11,0.694,1.8130,3.2868
UGC06787,Sa–Sab,25.81,0.73,1.478e-11,0.702,1.8315,3.3545
UGC06787,Sa–Sab,26.82,0.63,1.378e-11,0.709,1.8539,3.4368
UGC06787,Sa–Sab,27.84,0.54,1.286e-11,0.717,1.8604,3.4609
UGC06787,Sa–Sab,29.41,0.34,1.157e-11,0.727,1.8215,3.3178
UGC06787,Sa–Sab,30.99,0.20,1.038e-11,0.739,1.8031,3.2512
UGC06787,Sa–Sab,32.57,0.20,9.368e-12,0.749,1.8722,3.5053
UGC06787,Sa–Sab,34.03,0.17,8.593e-12,0.757,1.9386,3.7581
UGC06787,Sa–Sab,37.19,0.00,7.115e-12,0.775,2.0266,4.1072
UGC08699,Sa–Sab,1.31,413.68,9.540e-10,0.228,0.0911,0.0083
UGC08699,Sa–Sab,1.52,293.64,7.581e-10,0.248,0.4472,0.2000
UGC08699,Sa–Sab,1.73,248.10,6.179e-10,0.267,0.6506,0.4233
UGC08699,Sa–Sab,1.96,216.69,5.105e-10,0.285,0.8059,0.6494
UGC08699,Sa–Sab,2.17,187.29,4.397e-10,0.299,0.8391,0.7041
UGC08699,Sa–Sab,2.39,152.51,3.811e-10,0.313,0.8035,0.6456
UGC08699,Sa–Sab,2.60,121.73,3.358e-10,0.326,0.7905,0.6248
UGC08699,Sa–Sab,2.83,95.31,2.924e-10,0.341,0.7696,0.5922
UGC08699,Sa–Sab,3.04,77.75,2.584e-10,0.356,0.7183,0.5160
UGC08699,Sa–Sab,5.87,42.83,8.597e-11,0.498,0.8628,0.7445
UGC08699,Sa–Sab,6.08,41.66,8.234e-11,0.502,0.9069,0.8224
UGC08699,Sa–Sab,6.30,40.30,7.892e-11,0.506,0.9488,0.9002
UGC08699,Sa–Sab,6.52,38.80,7.586e-11,0.510,0.9891,0.9783
UGC08699,Sa–Sab,6.74,37.17,7.301e-11,0.514,1.0289,1.0587
UGC08699,Sa–Sab,6.95,35.87,7.050e-11,0.517,1.0683,1.1412
UGC08699,Sa–Sab,7.16,34.89,6.829e-11,0.520,1.1052,1.2215
UGC08699,Sa–Sab,7.39,34.04,6.617e-11,0.522,1.1170,1.2477
UGC08699,Sa–Sab,7.60,33.12,6.463e-11,0.523,1.1253,1.2662
UGC08699,Sa–Sab,7.82,31.68,6.319e-11,0.524,1.1318,1.2809
UGC08699,Sa–Sab,8.03,30.14,6.197e-11,0.524,1.1379,1.2948
UGC08699,Sa–Sab,8.26,28.23,6.072e-11,0.524,1.1426,1.3054
UGC08699,Sa–Sab,8.47,26.02,5.962e-11,0.525,1.1274,1.2709
UGC08699,Sa–Sab,8.68,23.51,5.842e-11,0.525,1.1369,1.2926
UGC08699,Sa–Sab,8.91,20.42,5.696e-11,0.527,1.1277,1.2717
UGC08699,Sa–Sab,9.53,13.39,5.193e-11,0.538,1.1091,1.2302
UGC08699,Sa–Sab,9.78,11.16,4.980e-11,0.543,1.1159,1.2453
UGC08699,Sa–Sab,9.99,9.47,4.799e-11,0.548,1.1030,1.2166
UGC08699,Sa–Sab,10.21,8.07,4.606e-11,0.554,1.1139,1.2408
UGC08699,Sa–Sab,11.46,3.88,3.674e-11,0.587,1.0904,1.1890
UGC08699,Sa–Sab,13.39,2.10,2.732e-11,0.628,1.0519,1.1066
UGC08699,Sa–Sab,15.21,1.30,2.157e-11,0.657,1.0551,1.1133
UGC08699,Sa–Sab,17.13,0.78,1.720e-11,0.684,1.1292,1.2751
UGC08699,Sa–Sab,19.06,0.52,1.405e-11,0.707,1.2112,1.4669
UGC08699,Sa–Sab,20.99,0.40,1.173e-11,0.726,1.2506,1.5640
UGC08699,Sa–Sab,22.92,0.25,9.860e-12,0.743,1.2978,1.6842
UGC08699,Sa–Sab,25.70,0.09,7.730e-12,0.766,1.3639,1.8603
UGC09133,Sa–Sab,0.63,7767.87,3.138e-09,0.153,1.6866,2.8447
UGC09133,Sa–Sab,0.95,4352.61,2.543e-09,0.170,0.2890,0.0835
UGC09133,Sa–Sab,2.52,940.74,9.850e-10,0.241,0.0512,0.0026
UGC09133,Sa–Sab,2.84,815.16,8.547e-10,0.254,0.1156,0.0134
UGC09133,Sa–Sab,3.15,733.50,7.606e-10,0.264,0.1478,0.0219
UGC09133,Sa–Sab,3.47,628.70,6.918e-10,0.270,0.1371,0.0188
UGC09133,Sa–Sab,3.79,510.77,6.355e-10,0.276,0.1243,0.0154
UGC09133,Sa–Sab,4.10,419.35,5.865e-10,0.281,0.1446,0.0209
UGC09133,Sa–Sab,4.42,333.02,5.394e-10,0.288,0.1629,0.0265
UGC09133,Sa–Sab,4.73,278.27,4.960e-10,0.295,0.1989,0.0396
UGC09133,Sa–Sab,5.05,238.09,4.543e-10,0.303,0.2659,0.0707
UGC09133,Sa–Sab,5.36,213.23,4.177e-10,0.311,0.3347,0.1120
UGC09133,Sa–Sab,5.68,194.90,3.847e-10,0.319,0.3832,0.1468
UGC09133,Sa–Sab,5.99,182.17,3.569e-10,0.327,0.4414,0.1948
UGC09133,Sa–Sab,6.31,171.97,3.323e-10,0.334,0.4927,0.2427
UGC09133,Sa–Sab,6.62,163.97,3.124e-10,0.339,0.5140,0.2642
UGC09133,Sa–Sab,6.94,153.43,2.947e-10,0.345,0.5462,0.2983
UGC09133,Sa–Sab,7.57,128.82,2.645e-10,0.354,0.5902,0.3484
UGC09133,Sa–Sab,7.89,113.87,2.500e-10,0.360,0.6281,0.3946
UGC09133,Sa–Sab,8.20,104.56,2.362e-10,0.366,0.6545,0.4284
UGC09133,Sa–Sab,8.31,102.13,2.316e-10,0.368,0.6798,0.4622
UGC09133,Sa–Sab,8.52,98.58,2.236e-10,0.372,0.6936,0.4811
UGC09133,Sa–Sab,8.83,93.71,2.130e-10,0.377,0.7095,0.5034
UGC09133,Sa–Sab,9.15,85.67,2.027e-10,0.382,0.7260,0.5271
UGC09133,Sa–Sab,9.78,69.49,1.836e-10,0.393,0.7823,0.6120
UGC09133,Sa–Sab,10.10,63.63,1.744e-10,0.399,0.8072,0.6516
UGC09133,Sa–Sab,11.04,51.41,1.504e-10,0.418,0.8616,0.7424
UGC09133,Sa–Sab,11.36,48.62,1.435e-10,0.424,0.8831,0.7798
UGC09133,Sa–Sab,11.67,46.47,1.373e-10,0.429,0.9018,0.8132
UGC09133,Sa–Sab,13.57,34.84,1.081e-10,0.458,0.9405,0.8846
UGC09133,Sa–Sab,13.88,32.82,1.041e-10,0.463,0.9393,0.8822
UGC09133,Sa–Sab,14.20,30.92,1.004e-10,0.467,0.9508,0.9040
UGC09133,Sa–Sab,16.61,22.68,7.778e-11,0.499,0.9436,0.8903
UGC09133,Sa–Sab,19.35,13.20,6.097e-11,0.528,0.9368,0.8776
UGC09133,Sa–Sab,22.19,9.80,4.806e-11,0.559,0.9471,0.8971
UGC09133,Sa–Sab,24.92,7.02,3.987e-11,0.581,0.9292,0.8634
UGC09133,Sa–Sab,27.66,4.91,3.367e-11,0.602,0.9175,0.8418
UGC09133,Sa–Sab,30.50,3.35,2.848e-11,0.623,0.8876,0.7879
UGC09133,Sa–Sab,33.23,2.19,2.438e-11,0.641,0.8620,0.7431
UGC09133,Sa–Sab,35.96,1.45,2.080e-11,0.660,0.8456,0.7151
UGC09133,Sa–Sab,38.80,0.95,1.778e-11,0.679,0.8293,0.6877
UGC09133,Sa–Sab,41.54,0.64,1.548e-11,0.694,0.8163,0.6664
UGC09133,Sa–Sab,44.27,0.43,1.369e-11,0.708,0.8048,0.6477
UGC09133,Sa–Sab,47.11,0.29,1.226e-11,0.720,0.8255,0.6815
UGC09133,Sa–Sab,49.84,0.20,1.104e-11,0.731,0.8682,0.7538
UGC09133,Sa–Sab,52.58,0.13,9.886e-12,0.743,0.9189,0.8443
UGC09133,Sa–Sab,55.42,0.09,8.913e-12,0.753,0.9642,0.9297
UGC09133,Sa–Sab,58.15,0.06,8.208e-12,0.761,0.9871,0.9743
UGC09133,Sa–Sab,60.89,0.04,7.671e-12,0.768,0.9690,0.9389
UGC09133,Sa–Sab,63.62,0.03,7.100e-12,0.775,0.9413,0.8861
UGC09133,Sa–Sab,66.46,0.02,6.538e-12,0.782,0.9085,0.8253
UGC09133,Sa–Sab,69.19,0.01,6.048e-12,0.789,0.8675,0.7526
UGC09133,Sa–Sab,71.93,0.01,5.628e-12,0.795,0.8344,0.6962
UGC09133,Sa–Sab,74.77,0.01,5.259e-12,0.801,0.8179,0.6690
UGC09133,Sa–Sab,77.50,0.01,4.963e-12,0.805,0.8170,0.6675
UGC09133,Sa–Sab,80.23,0.01,4.692e-12,0.810,0.8068,0.6510
UGC09133,Sa–Sab,83.07,0.00,4.424e-12,0.814,0.7983,0.6373
UGC09133,Sa–Sab,85.81,0.00,4.174e-12,0.819,0.7828,0.6128
UGC09133,Sa–Sab,88.54,0.00,3.931e-12,0.823,0.7699,0.5927
UGC09133,Sa–Sab,91.38,0.00,3.696e-12,0.828,0.7753,0.6011
UGC09133,Sa–Sab,94.12,0.00,3.491e-12,0.832,0.7975,0.6360
UGC09133,Sa–Sab,99.69,0.00,3.149e-12,0.839,0.8279,0.6854
UGC09133,Sa–Sab,108.31,0.00,2.683e-12,0.850,0.8571,0.7346
UGC11914,Sa–Sab,0.47,6053.56,2.648e-09,0.140,0.5129,0.2630
UGC11914,Sa–Sab,0.56,5139.40,2.342e-09,0.159,0.9241,0.8539
UGC11914,Sa–Sab,0.65,4506.63,2.099e-09,0.173,1.3319,1.7739
UGC11914,Sa–Sab,0.75,4028.70,1.898e-09,0.185,1.5159,2.2980
UGC11914,Sa–Sab,0.84,3657.62,1.778e-09,0.192,1.6384,2.6843
UGC11914,Sa–Sab,0.93,3242.95,1.692e-09,0.196,1.6987,2.8855
UGC11914,Sa–Sab,1.03,2799.96,1.606e-09,0.199,1.6772,2.8129
UGC11914,Sa–Sab,1.12,2466.83,1.531e-09,0.202,1.6911,2.8599
UGC11914,Sa–Sab,1.21,2166.33,1.459e-09,0.205,1.7018,2.8961
UGC11914,Sa–Sab,1.30,1922.14,1.386e-09,0.209,1.7096,2.9226
UGC11914,Sa–Sab,1.41,1682.63,1.301e-09,0.213,1.6829,2.8320
UGC11914,Sa–Sab,1.50,1522.25,1.236e-09,0.217,1.6658,2.7749
UGC11914,Sa–Sab,1.59,1380.51,1.175e-09,0.220,1.6269,2.6468
UGC11914,Sa–Sab,1.68,1262.41,1.117e-09,0.224,1.6033,2.5705
UGC11914,Sa–Sab,1.78,1155.36,1.057e-09,0.228,1.5855,2.5137
UGC11914,Sa–Sab,1.87,1079.69,1.007e-09,0.232,1.5476,2.3951
UGC11914,Sa–Sab,1.96,1017.32,9.617e-10,0.236,1.4801,2.1908
UGC11914,Sa–Sab,2.05,957.40,9.210e-10,0.239,1.4454,2.0893
UGC11914,Sa–Sab,2.16,888.72,8.759e-10,0.243,1.4064,1.9780
UGC11914,Sa–Sab,2.25,841.35,8.421e-10,0.246,1.3466,1.8132
UGC11914,Sa–Sab,2.34,800.09,8.111e-10,0.248,1.3189,1.7394
UGC11914,Sa–Sab,2.43,760.56,7.834e-10,0.251,1.2892,1.6621
UGC11914,Sa–Sab,2.46,744.73,7.749e-10,0.252,1.2784,1.6343
UGC11914,Sa–Sab,2.53,709.79,7.556e-10,0.253,1.2549,1.5748
UGC11914,Sa–Sab,2.62,668.59,7.321e-10,0.255,1.2273,1.5063
UGC11914,Sa–Sab,2.71,624.25,7.106e-10,0.257,1.1992,1.4380
UGC11914,Sa–Sab,2.80,579.71,6.898e-10,0.259,1.1754,1.3817
UGC11914,Sa–Sab,2.99,501.90,6.475e-10,0.263,1.1404,1.3005
UGC11914,Sa–Sab,3.28,412.09,5.884e-10,0.270,1.1390,1.2973
UGC11914,Sa–Sab,3.74,311.85,5.066e-10,0.282,1.1645,1.3560
UGC11914,Sa–Sab,3.83,297.76,4.924e-10,0.285,1.1682,1.3646
UGC11914,Sa–Sab,4.02,270.23,4.645e-10,0.290,1.1757,1.3822
UGC11914,Sa–Sab,4.09,260.55,4.548e-10,0.292,1.1795,1.3912
UGC11914,Sa–Sab,4.12,256.51,4.507e-10,0.292,1.1812,1.3953
UGC11914,Sa–Sab,4.30,233.55,4.269e-10,0.297,1.1701,1.3691
UGC11914,Sa–Sab,4.39,223.49,4.154e-10,0.300,1.1789,1.3898
UGC11914,Sa–Sab,4.49,213.15,4.032e-10,0.303,1.1880,1.4114
UGC11914,Sa–Sab,4.58,204.55,3.927e-10,0.305,1.1729,1.3756
UGC11914,Sa–Sab,4.87,180.21,3.615e-10,0.313,1.1781,1.3880
UGC11914,Sa–Sab,4.91,177.14,3.575e-10,0.314,1.1589,1.3431
UGC11914,Sa–Sab,4.96,173.45,3.525e-10,0.316,1.1640,1.3550
UGC11914,Sa–Sab,5.05,167.10,3.440e-10,0.318,1.1495,1.3214
UGC11914,Sa–Sab,5.14,161.17,3.357e-10,0.321,1.1585,1.3422
UGC11914,Sa–Sab,5.24,154.95,3.269e-10,0.323,1.1455,1.3122
UGC11914,Sa–Sab,5.33,149.69,3.192e-10,0.326,1.1545,1.3328
UGC11914,Sa–Sab,5.42,144.75,3.119e-10,0.328,1.1405,1.3006
UGC11914,Sa–Sab,5.51,140.16,3.048e-10,0.331,1.1491,1.3203
UGC11914,Sa–Sab,5.61,135.45,2.973e-10,0.333,1.1353,1.2890
UGC11914,Sa–Sab,5.71,131.13,2.903e-10,0.335,1.1424,1.3050
UGC11914,Sa–Sab,5.80,126.94,2.843e-10,0.338,1.1267,1.2695
UGC11914,Sa–Sab,5.89,122.88,2.783e-10,0.340,1.1334,1.2845
UGC11914,Sa–Sab,5.98,118.95,2.727e-10,0.342,1.1393,1.2979
UGC11914,Sa–Sab,6.08,114.72,2.666e-10,0.344,1.1461,1.3136
UGC11914,Sa–Sab,6.15,111.86,2.625e-10,0.346,1.1501,1.3228
UGC11914,Sa–Sab,6.17,111.06,2.614e-10,0.346,1.1511,1.3249
UGC11914,Sa–Sab,6.26,107.51,2.563e-10,0.348,1.1563,1.3371
UGC11914,Sa–Sab,6.35,103.91,2.514e-10,0.350,1.1617,1.3496
UGC11914,Sa–Sab,6.73,89.17,2.320e-10,0.358,1.2067,1.4560
UGC11914,Sa–Sab,6.83,85.47,2.272e-10,0.361,1.2135,1.4725
UGC11914,Sa–Sab,6.92,82.21,2.230e-10,0.363,1.2408,1.5395
UGC11914,Sa–Sab,7.37,68.39,2.030e-10,0.373,1.3381,1.7906
UGC11914,Sa–Sab,8.60,38.84,1.569e-10,0.405,1.6457,2.7085
UGC11914,Sa–Sab,9.83,27.04,1.217e-10,0.438,1.9499,3.8020
ESO079-G014,Sb–Sbc,0.98,142.25,3.811e-11,0.669,0.5962,0.3554
ESO079-G014,Sb–Sbc,1.78,106.66,3.592e-11,0.667,0.2356,0.0555
ESO079-G014,Sb–Sbc,2.69,76.10,3.520e-11,0.651,0.3030,0.0918
ESO079-G014,Sb–Sbc,3.36,71.31,3.341e-11,0.648,0.5030,0.2530
ESO079-G014,Sb–Sbc,4.39,52.87,2.849e-11,0.666,0.8507,0.7238
ESO079-G014,Sb–Sbc,5.65,46.34,2.491e-11,0.677,1.0031,1.0063
ESO079-G014,Sb–Sbc,6.34,44.91,2.418e-11,0.675,1.2904,1.6651
ESO079-G014,Sb–Sbc,6.89,43.80,2.443e-11,0.668,1.2977,1.6841
ESO079-G014,Sb–Sbc,8.34,39.23,2.632e-11,0.642,1.3970,1.9516
ESO079-G014,Sb–Sbc,10.04,29.02,2.864e-11,0.612,1.2660,1.6028
ESO079-G014,Sb–Sbc,11.65,19.89,2.739e-11,0.612,1.2285,1.5092
ESO079-G014,Sb–Sbc,13.36,11.59,2.463e-11,0.624,1.2172,1.4816
ESO079-G014,Sb–Sbc,15.06,7.95,2.111e-11,0.644,1.2102,1.4647
ESO079-G014,Sb–Sbc,16.67,5.46,1.819e-11,0.663,1.2121,1.4693
ESO563-G021,Sb–Sbc,3.12,287.17,1.110e-10,0.534,0.2844,0.0809
ESO563-G021,Sb–Sbc,4.01,274.01,1.007e-10,0.540,0.5065,0.2565
ESO563-G021,Sb–Sbc,4.90,262.07,1.022e-10,0.525,1.3198,1.7418
ESO563-G021,Sb–Sbc,5.79,241.76,1.110e-10,0.496,1.6249,2.6404
ESO563-G021,Sb–Sbc,6.69,213.38,1.150e-10,0.478,1.6895,2.8543
ESO563-G021,Sb–Sbc,7.58,188.46,1.118e-10,0.477,1.9177,3.6777
ESO563-G021,Sb–Sbc,8.47,172.99,1.118e-10,0.468,1.9769,3.9080
ESO563-G021,Sb–Sbc,10.23,141.37,1.079e-10,0.462,1.7352,3.0110
ESO563-G021,Sb–Sbc,12.06,99.77,1.016e-10,0.459,1.8143,3.2918
ESO563-G021,Sb–Sbc,13.44,82.36,9.316e-11,0.467,1.6952,2.8736
ESO563-G021,Sb–Sbc,15.18,65.73,8.506e-11,0.474,1.5697,2.4638
ESO563-G021,Sb–Sbc,16.83,48.26,7.773e-11,0.481,1.5535,2.4132
ESO563-G021,Sb–Sbc,18.56,35.22,6.765e-11,0.501,1.5866,2.5175
ESO563-G021,Sb–Sbc,20.30,31.30,6.088e-11,0.514,1.5756,2.4826
ESO563-G021,Sb–Sbc,21.94,25.29,5.671e-11,0.519,1.5172,2.3018
ESO563-G021,Sb–Sbc,23.68,16.32,5.253e-11,0.525,1.4622,2.1381
ESO563-G021,Sb–Sbc,25.41,9.84,4.623e-11,0.545,1.4806,2.1920
ESO563-G021,Sb–Sbc,27.06,6.89,4.089e-11,0.563,1.4397,2.0729
ESO563-G021,Sb–Sbc,28.80,3.99,3.555e-11,0.582,1.4946,2.2338
ESO563-G021,Sb–Sbc,30.53,2.15,3.118e-11,0.602,1.5177,2.3033
ESO563-G021,Sb–Sbc,32.18,1.36,2.820e-11,0.618,1.5049,2.2648
ESO563-G021,Sb–Sbc,33.91,0.81,2.574e-11,0.632,1.5356,2.3579
ESO563-G021,Sb–Sbc,35.65,0.67,2.327e-11,0.646,1.6443,2.7039
ESO563-G021,Sb–Sbc,37.30,0.47,2.133e-11,0.658,1.6647,2.7712
ESO563-G021,Sb–Sbc,39.03,0.36,1.937e-11,0.670,1.6710,2.7923
ESO563-G021,Sb–Sbc,40.76,0.29,1.766e-11,0.681,1.6230,2.6340
ESO563-G021,Sb–Sbc,42.41,0.29,1.630e-11,0.691,1.5960,2.5473
IC4202,Sb–Sbc,3.13,394.28,2.446e-10,0.397,0.0456,0.0021
IC4202,Sb–Sbc,3.95,275.88,2.072e-10,0.412,0.6561,0.4305
IC4202,Sb–Sbc,4.73,196.86,1.848e-10,0.417,0.7592,0.5764
IC4202,Sb–Sbc,5.50,146.22,1.588e-10,0.432,0.8146,0.6636
IC4202,Sb–Sbc,6.27,133.05,1.372e-10,0.449,1.0105,1.0211
IC4202,Sb–Sbc,7.08,128.47,1.246e-10,0.456,1.1468,1.3151
IC4202,Sb–Sbc,7.86,120.16,1.190e-10,0.453,1.1014,1.2131
IC4202,Sb–Sbc,8.66,105.63,1.145e-10,0.450,1.1747,1.3798
IC4202,Sb–Sbc,9.45,90.41,1.094e-10,0.450,1.0980,1.2056
IC4202,Sb–Sbc,10.24,75.57,1.034e-10,0.452,0.9076,0.8238
IC4202,Sb–Sbc,11.02,62.34,9.682e-11,0.457,0.8904,0.7927
IC4202,Sb–Sbc,11.79,50.98,9.045e-11,0.464,0.8666,0.7510
IC4202,Sb–Sbc,12.47,42.73,8.476e-11,0.472,0.9572,0.9162
IC4202,Sb–Sbc,13.34,34.58,7.798e-11,0.483,0.8667,0.7512
IC4202,Sb–Sbc,14.11,29.18,7.250e-11,0.493,1.0080,1.0161
IC4202,Sb–Sbc,14.59,26.50,6.930e-11,0.499,0.8806,0.7755
IC4202,Sb–Sbc,14.98,24.41,6.689e-11,0.504,0.9117,0.8313
IC4202,Sb–Sbc,15.75,20.95,6.232e-11,0.513,0.9780,0.9565
IC4202,Sb–Sbc,16.52,17.86,5.804e-11,0.522,1.0016,1.0032
IC4202,Sb–Sbc,17.10,15.81,5.495e-11,0.529,0.9660,0.9331
IC4202,Sb–Sbc,17.88,13.41,5.103e-11,0.539,0.9086,0.8255
IC4202,Sb–Sbc,18.65,11.40,4.749e-11,0.549,1.0140,1.0282
IC4202,Sb–Sbc,19.62,9.32,4.354e-11,0.560,0.8462,0.7161
IC4202,Sb–Sbc,20.78,7.30,3.982e-11,0.572,1.0669,1.1382
IC4202,Sb–Sbc,22.13,5.47,3.637e-11,0.585,0.8802,0.7747
IC4202,Sb–Sbc,23.00,4.58,3.425e-11,0.594,1.0049,1.0098
IC4202,Sb–Sbc,23.58,4.07,3.293e-11,0.599,0.9794,0.9592
IC4202,Sb–Sbc,25.03,3.06,2.938e-11,0.614,0.9394,0.8824
IC4202,Sb–Sbc,25.90,2.59,2.742e-11,0.623,1.0793,1.1649
NGC0289,Sb–Sbc,2.52,342.31,3.303e-10,0.256,1.3518,1.8275
NGC0289,Sb–Sbc,3.46,195.31,2.186e-10,0.331,0.6296,0.3964
NGC0289,Sb–Sbc,4.32,149.97,1.831e-10,0.352,0.7396,0.5470
NGC0289,Sb–Sbc,5.43,74.05,1.468e-10,0.376,0.4055,0.1644
NGC0289,Sb–Sbc,6.38,34.22,1.138e-10,0.410,0.3521,0.1240
NGC0289,Sb–Sbc,7.57,20.23,8.420e-11,0.450,0.7013,0.4918
NGC0289,Sb–Sbc,10.60,7.34,4.610e-11,0.535,1.1044,1.2196
NGC0289,Sb–Sbc,13.57,2.71,3.004e-11,0.594,1.1364,1.2914
NGC0289,Sb–Sbc,16.64,1.67,2.099e-11,0.643,0.9708,0.9424
NGC0289,Sb–Sbc,19.71,1.53,1.623e-11,0.672,0.7922,0.6276
NGC0289,Sb–Sbc,22.68,0.73,1.371e-11,0.693,0.6798,0.4622
NGC0289,Sb–Sbc,25.75,0.38,1.162e-11,0.714,0.6951,0.4832
NGC0289,Sb–Sbc,28.72,0.32,9.781e-12,0.733,0.8950,0.8010
NGC0289,Sb–Sbc,31.79,0.20,8.915e-12,0.744,0.8902,0.7924
NGC0289,Sb–Sbc,34.77,0.12,8.336e-12,0.752,0.8519,0.7258
NGC0289,Sb–Sbc,37.84,0.08,7.526e-12,0.762,0.8502,0.7228
NGC0289,Sb–Sbc,40.81,0.05,6.854e-12,0.772,0.8400,0.7055
NGC0289,Sb–Sbc,43.88,0.03,6.120e-12,0.782,0.8357,0.6983
NGC0289,Sb–Sbc,46.85,0.02,5.464e-12,0.792,0.8156,0.6652
NGC0289,Sb–Sbc,49.92,0.01,4.885e-12,0.801,0.7854,0.6169
NGC0289,Sb–Sbc,52.99,0.01,4.414e-12,0.809,0.7642,0.5840
NGC0289,Sb–Sbc,55.96,0.01,4.025e-12,0.817,0.7318,0.5355
NGC0289,Sb–Sbc,59.03,0.01,3.613e-12,0.825,0.6997,0.4895
NGC0289,Sb–Sbc,62.00,0.00,3.193e-12,0.833,0.6180,0.3819
NGC0289,Sb–Sbc,65.07,0.00,2.826e-12,0.841,0.6411,0.4110
NGC0289,Sb–Sbc,68.05,0.00,2.544e-12,0.848,0.7443,0.5540
NGC0289,Sb–Sbc,71.12,0.00,2.294e-12,0.855,0.7496,0.5619
NGC0891,Sb–Sbc,6.03,91.64,2.617e-10,0.334,0.0609,0.0037
NGC0891,Sb–Sbc,6.96,65.83,2.095e-10,0.358,0.2062,0.0425
NGC0891,Sb–Sbc,7.89,51.13,1.690e-10,0.384,0.3863,0.1492
NGC0891,Sb–Sbc,8.80,30.43,1.440e-10,0.402,0.4567,0.2085
NGC0891,Sb–Sbc,9.73,17.61,1.186e-10,0.429,0.5954,0.3545
NGC0891,Sb–Sbc,10.64,17.64,1.011e-10,0.450,0.6747,0.4552
NGC0891,Sb–Sbc,11.58,8.73,8.772e-11,0.468,0.6838,0.4676
NGC0891,Sb–Sbc,12.52,7.60,7.538e-11,0.491,0.6876,0.4728
NGC0891,Sb–Sbc,13.46,6.26,6.745e-11,0.504,0.6853,0.4696
NGC0891,Sb–Sbc,14.40,3.38,5.977e-11,0.521,0.7120,0.5069
NGC0891,Sb–Sbc,15.33,2.46,5.272e-11,0.538,0.7491,0.5611
NGC0891,Sb–Sbc,16.27,1.70,4.666e-11,0.553,0.7132,0.5087
NGC0891,Sb–Sbc,17.11,0.00,4.171e-11,0.568,0.7343,0.5392
NGC1090,Sb–Sbc,1.60,266.62,1.318e-10,0.488,0.0162,0.0003
NGC1090,Sb–Sbc,3.70,150.06,9.038e-11,0.519,0.4550,0.2070
NGC1090,Sb–Sbc,5.09,91.82,7.517e-11,0.530,0.9400,0.8837
NGC1090,Sb–Sbc,6.61,76.34,6.712e-11,0.527,0.9095,0.8271
NGC1090,Sb–Sbc,8.17,44.75,5.845e-11,0.533,0.7417,0.5501
NGC1090,Sb–Sbc,9.11,33.91,5.116e-11,0.550,0.9038,0.8169
NGC1090,Sb–Sbc,10.37,29.50,4.416e-11,0.568,0.6878,0.4731
NGC1090,Sb–Sbc,11.28,24.43,4.191e-11,0.569,0.8513,0.7247
NGC1090,Sb–Sbc,13.62,12.19,3.476e-11,0.587,0.7543,0.5689
NGC1090,Sb–Sbc,15.04,7.48,3.007e-11,0.606,0.6650,0.4422
NGC1090,Sb–Sbc,16.37,4.34,2.605e-11,0.625,0.6557,0.4300
NGC1090,Sb–Sbc,17.59,2.68,2.264e-11,0.645,0.6979,0.4871
NGC1090,Sb–Sbc,18.80,1.97,1.995e-11,0.662,0.7187,0.5165
NGC1090,Sb–Sbc,20.13,1.37,1.750e-11,0.679,0.7102,0.5044
NGC1090,Sb–Sbc,21.35,1.02,1.565e-11,0.693,0.7267,0.5281
NGC1090,Sb–Sbc,22.57,0.81,1.414e-11,0.705,0.7387,0.5457
NGC1090,Sb–Sbc,23.89,0.54,1.280e-11,0.716,0.7471,0.5582
NGC1090,Sb–Sbc,25.11,0.38,1.182e-11,0.725,0.7199,0.5183
NGC1090,Sb–Sbc,26.33,0.27,1.101e-11,0.733,0.7038,0.4953
NGC1090,Sb–Sbc,27.65,0.18,1.024e-11,0.741,0.7001,0.4902
NGC1090,Sb–Sbc,28.87,0.13,9.635e-12,0.747,0.6953,0.4834
NGC1090,Sb–Sbc,30.09,0.00,9.034e-12,0.754,0.6682,0.4465
NGC2683,Sb–Sbc,2.89,377.69,2.968e-10,0.025,13.6132,185.3198
NGC2683,Sb–Sbc,5.77,74.86,1.660e-10,0.331,1.0527,1.1082
NGC2683,Sb–Sbc,8.66,28.11,8.148e-11,0.440,1.2074,1.4577
NGC2683,Sb–Sbc,11.54,8.05,5.369e-11,0.492,1.1283,1.2731
NGC2683,Sb–Sbc,14.43,1.36,3.260e-11,0.568,0.7910,0.6257
NGC2683,Sb–Sbc,17.31,0.46,2.222e-11,0.619,1.2577,1.5818
NGC2683,Sb–Sbc,20.20,0.12,1.593e-11,0.660,0.9662,0.9335
NGC2683,Sb–Sbc,23.08,0.04,1.190e-11,0.693,0.7312,0.5346
NGC2683,Sb–Sbc,28.85,0.00,7.450e-12,0.742,0.9921,0.9843
NGC2683,Sb–Sbc,31.74,0.00,6.116e-12,0.761,0.9440,0.8911
NGC2683,Sb–Sbc,34.62,0.00,5.118e-12,0.777,0.9077,0.8239
NGC2841,Sb–Sbc,3.77,272.53,4.421e-10,0.088,7.4315,55.2270
NGC2841,Sb–Sbc,4.13,254.97,3.924e-10,0.126,5.7989,33.6270
NGC2841,Sb–Sbc,4.47,233.52,3.544e-10,0.153,5.0634,25.6378
NGC2841,Sb–Sbc,4.80,219.56,3.237e-10,0.175,4.5513,20.7144
