Galaksi,Tip,YAY_logMb,YAY_elogMb,YAY_Vf,YAY_eVf,YAY_V2exp,YAY_eV2exp,YAY_V2eff,YAY_eV2eff,YAY_Vmax,YAY_eVmax,YAY_Wp20,YAY_eWp20,YAY_Wm50,YAY_eWm50,YAY_Wm50c,YAY_eWm50c,R_dis_kpc,Vbar_dis_kms,l_omega_kpc,l_om_bolu_R,TEORI_v_yalnizF4,TEORI_v_TAM,FARK_dex_TAM,LCDM_Vmax_kms
NGC3949,Sbc,10.37,0.15,163.0,16.1,0.0,0.0,158.9,7.7,169.0,25.8,347.9,10.4,322.3,18.7,318.6,18.7,7.07,119.2,8.79,1.244,107.1,160.3,-0.007,135.4
NGC4559,Scd,10.24,0.27,121.2,5.6,104.1,5.7,113.0,4.7,124.0,4.4,278.1,5.4,262.9,9.2,259.6,9.2,20.97,69.3,7.57,0.361,99.3,121.1,-0.000,116.0
NGC3769,Sb,10.22,0.14,118.6,10.2,125.3,5.9,110.9,7.2,126.0,4.7,279.9,8.8,254.3,8.6,248.0,8.6,37.16,45.7,7.40,0.199,98.2,108.3,-0.039,115.2
UGC00128,Sdm,10.20,0.14,129.6,15.0,113.7,12.9,126.4,14.3,134.0,15.3,287.4,33.5,265.9,33.7,255.2,32.6,53.75,41.5,7.23,0.135,97.1,105.6,-0.089,106.5
NGC3917,Scd,10.13,0.15,135.9,5.1,120.0,4.0,136.7,3.6,138.0,5.1,300.5,6.3,290.8,17.6,287.3,17.6,14.86,70.1,6.67,0.449,93.3,116.7,-0.066,119.0
NGC4085,Sc,10.10,0.15,131.5,6.5,127.2,4.9,128.4,4.9,136.0,7.4,307.0,7.2,285.8,8.1,279.7,8.1,6.20,101.5,6.45,1.040,91.7,136.8,+0.017,118.7
NGC4010,Sd,10.09,0.14,125.8,5.5,116.0,5.1,0.0,0.0,129.0,5.1,276.0,7.0,257.5,18.5,251.0,18.5,10.47,72.2,6.37,0.609,91.1,116.2,-0.034,113.4
UGC03580,Sa,10.09,0.23,126.2,5.6,96.9,12.2,96.6,7.1,131.0,5.0,271.6,11.9,0.0,0.0,0.0,0.0,27.06,49.0,6.37,0.235,91.1,103.5,-0.086,108.3
NGC1003,Scd,10.05,0.26,109.8,5.8,76.2,4.2,90.3,5.1,115.0,4.6,249.9,11.0,227.0,11.6,224.9,11.5,30.24,43.5,6.08,0.201,89.1,99.1,-0.044,97.2
NGC4183,Scd,10.00,0.14,110.6,6.6,103.1,5.2,114.2,6.1,115.0,6.1,258.5,7.1,241.3,15.0,238.3,15.0,21.02,49.9,5.74,0.273,86.5,99.9,-0.044,104.6
UGC11557,Sdm,9.98,0.23,0.0,0.0,84.3,26.7,80.7,25.3,85.0,26.9,224.0,67.9,180.0,55.0,174.0,53.2,10.56,65.1,5.61,0.532,85.5,107.5,,106.6
NGC2403,Scd,9.97,0.08,131.2,6.1,101.6,4.2,118.0,6.2,136.0,5.3,287.3,12.6,0.0,0.0,0.0,0.0,20.87,51.4,5.55,0.266,85.0,99.4,-0.121,103.3
NGC3972,Sbc,9.94,0.15,132.7,5.4,112.9,4.4,132.2,6.1,134.0,6.1,273.0,11.1,278.1,8.1,274.0,8.1,8.72,71.9,5.36,0.615,83.6,110.3,-0.080,109.8
NGC6503,Scd,9.94,0.09,116.3,3.3,119.9,2.3,118.8,2.3,121.0,2.3,263.2,12.3,172.7,50.0,169.6,50.0,23.50,42.9,5.36,0.228,83.6,93.9,-0.093,107.7
UGC06930,Sd,9.94,0.13,107.2,16.4,102.9,15.3,103.1,15.3,109.0,16.1,262.3,37.5,0.0,0.0,0.0,0.0,16.61,54.2,5.36,0.323,83.6,99.6,-0.032,101.4
F568-3,Sd,9.93,0.11,0.0,0.0,99.1,21.5,111.8,25.6,120.0,27.7,275.4,59.5,266.0,57.6,0.0,0.0,17.98,52.2,5.30,0.295,83.1,98.1,,100.3
F574-1,Sd,9.90,0.10,97.8,9.3,97.7,9.1,99.5,9.2,99.7,9.6,265.9,26.9,247.2,25.7,0.0,0.0,12.60,46.5,5.12,0.406,81.7,94.0,-0.017,96.6
UGC07125,Sm,9.88,0.26,65.2,2.8,56.7,2.0,57.3,2.0,65.6,2.1,180.0,9.0,151.0,8.0,147.0,8.0,18.68,39.1,5.00,0.268,80.8,89.7,+0.139,85.0
F571-8,Sc,9.87,0.19,139.7,5.8,127.2,4.1,76.0,4.0,144.0,5.1,313.2,16.2,312.2,16.2,0.0,0.0,15.55,40.8,4.95,0.318,80.3,90.1,-0.191,103.5
UGC06983,Scd,9.82,0.13,109.0,7.8,102.5,3.8,107.1,4.7,113.0,4.7,261.0,8.0,241.2,16.4,237.2,16.4,15.68,49.1,4.67,0.298,78.0,92.2,-0.073,93.6
UGC00634,Sm,9.80,0.22,0.0,0.0,75.2,14.5,94.7,17.6,108.0,20.0,259.2,48.3,239.3,45.9,236.0,45.3,,,,,,,,86.2
UGC05005,Im,9.79,0.18,98.9,22.3,65.9,15.8,78.1,32.4,100.0,22.4,0.0,0.0,169.2,37.8,0.0,0.0,28.61,43.1,4.51,0.158,76.7,87.9,-0.051,90.2
UGC06917,Sm,9.79,0.14,108.7,6.2,99.9,4.2,106.8,4.7,111.0,6.5,243.7,9.8,230.4,9.7,225.6,9.6,10.47,56.3,4.51,0.431,76.7,95.1,-0.058,97.3
NGC0247,Sd,9.78,0.08,104.9,9.1,91.4,5.0,104.8,9.0,108.0,7.9,228.9,6.1,0.0,0.0,0.0,0.0,14.54,48.2,4.46,0.307,76.2,90.2,-0.066,98.3
UGC05986,Sm,9.77,0.27,113.0,4.9,104.4,3.6,116.0,2.0,116.0,2.3,262.0,5.0,252.0,20.0,248.0,20.0,9.41,44.2,4.41,0.468,75.8,87.7,-0.110,92.0
UGC12732,Sm,9.76,0.27,0.0,0.0,67.7,9.6,75.0,10.3,98.0,13.1,214.5,28.0,193.9,27.4,189.9,26.9,15.40,46.3,4.36,0.283,75.4,88.4,,79.5
F568-V1,Sd,9.72,0.10,112.3,28.9,112.8,34.2,111.3,35.1,118.0,28.6,320.5,68.6,284.7,61.3,0.0,0.0,17.63,43.0,4.16,0.236,73.6,85.3,-0.120,89.3
NGC7793,Sd,9.67,0.09,0.0,0.0,98.4,15.3,114.0,18.4,116.0,18.5,265.3,39.2,242.0,37.8,232.4,36.4,7.87,56.6,3.93,0.499,71.6,91.2,,97.7
NGC0055,Sm,9.64,0.08,85.6,5.4,86.6,5.6,82.2,2.5,87.4,2.7,208.3,7.4,185.8,13.2,178.6,13.2,13.50,47.8,3.80,0.281,70.3,85.0,-0.003,91.8
NGC0100,Scd,9.63,0.27,88.1,8.7,70.5,4.0,78.6,5.6,91.2,13.7,229.0,5.0,215.0,10.0,213.0,10.0,9.62,35.7,3.75,0.390,69.9,78.5,-0.050,87.2
NGC5585,Sd,9.57,0.27,90.3,3.7,72.4,3.2,77.6,4.4,92.3,3.0,208.5,7.1,193.0,9.7,191.1,9.7,10.96,40.8,3.50,0.319,67.6,78.9,-0.059,86.0
ESO116-G012,Sd,9.55,0.27,109.1,4.0,85.5,3.3,106.3,4.5,112.0,5.0,241.3,9.7,226.8,13.4,219.5,13.4,9.86,47.0,3.42,0.347,66.8,81.7,-0.126,90.8
UGC07524,Sm,9.55,0.06,79.6,5.7,77.1,4.9,75.5,5.0,83.8,5.9,186.3,10.7,166.8,11.6,165.4,11.6,10.69,43.9,3.42,0.320,66.8,79.9,+0.002,83.8
UGC07089,Sdm,9.53,0.14,0.0,0.0,63.0,4.4,73.5,6.1,79.1,7.3,161.5,7.2,151.3,8.1,147.2,8.1,9.16,41.6,3.34,0.365,66.0,78.0,,88.5
F583-1,Sm,9.52,0.22,85.8,7.9,69.8,4.3,78.7,13.9,86.9,6.8,205.4,18.4,198.7,18.3,0.0,0.0,16.26,41.4,3.31,0.203,65.6,77.6,-0.044,74.0
UGC05750,Sdm,9.50,0.18,0.0,0.0,66.8,13.5,78.3,12.9,78.9,12.9,0.0,0.0,90.1,18.2,0.0,0.0,22.85,41.5,3.23,0.141,64.9,77.0,,87.6
UGC11820,Sm,9.49,0.26,0.0,0.0,57.1,10.0,60.4,10.6,84.5,14.8,190.9,33.7,157.0,28.5,149.9,27.4,15.82,37.4,3.19,0.202,64.5,74.6,,73.9
UGC07323,Sdm,9.48,0.27,0.0,0.0,81.3,5.5,0.0,0.0,85.6,5.7,194.2,11.2,170.9,11.6,168.2,11.5,,,,,,,,90.2
UGC12632,Sm,9.47,0.26,71.7,4.9,64.6,4.9,70.4,4.5,73.2,4.8,183.5,11.0,157.1,11.3,154.3,11.2,10.66,36.7,3.12,0.293,63.8,73.6,+0.011,76.9
NGC0024,Sc,9.45,0.09,106.3,8.5,106.9,11.5,106.1,11.5,110.0,4.0,248.1,8.1,240.3,16.2,235.3,16.2,11.27,35.0,3.05,0.271,63.0,72.1,-0.169,89.5
UGC00191,Sm,9.45,0.26,0.0,0.0,73.7,9.9,76.7,6.8,83.8,7.4,203.6,18.8,185.3,21.4,182.4,21.2,9.98,40.6,3.05,0.306,63.0,75.0,,81.5
NGC0300,Sd,9.43,0.08,93.3,20.1,83.1,16.8,79.9,16.2,97.0,19.6,248.1,48.6,231.6,48.8,221.2,46.9,11.80,33.0,2.98,0.253,62.3,70.5,-0.121,85.9
UGC07261,Sdm,9.43,0.26,74.7,23.3,65.9,20.7,74.2,23.1,76.1,23.7,216.0,65.7,0.0,0.0,0.0,0.0,6.67,38.7,2.98,0.447,62.3,73.3,-0.008,80.1
F571-V1,Sd,9.41,0.10,83.6,26.0,68.2,21.8,79.8,24.9,84.3,26.2,168.0,53.2,166.0,52.7,0.0,0.0,13.59,34.4,2.91,0.214,61.6,70.6,-0.074,80.6
