Galaksi,Tip,YAY_logMb,YAY_elogMb,YAY_Vf,YAY_eVf,YAY_V2exp,YAY_eV2exp,YAY_V2eff,YAY_eV2eff,YAY_Vmax,YAY_eVmax,YAY_Wp20,YAY_eWp20,YAY_Wm50,YAY_eWm50,YAY_Wm50c,YAY_eWm50c,R_dis_kpc,Vbar_dis_kms,l_omega_kpc,l_om_bolu_R,TEORI_v_yalnizF4,TEORI_v_TAM,FARK_dex_TAM,LCDM_Vmax_kms
NGC3109,Sm,8.86,0.06,66.2,3.9,51.4,3.9,50.2,3.8,67.3,3.7,143.7,6.8,130.9,13.6,123.4,13.6,6.45,21.4,1.55,0.240,44.9,49.7,-0.124,59.7
UGC08837,Im,8.83,0.07,0.0,0.0,46.9,3.2,0.0,0.0,48.0,3.1,107.6,5.3,0.0,0.0,0.0,0.0,4.20,29.3,1.49,0.356,44.1,53.0,,67.7
DDO168,Im,8.81,0.06,53.7,3.7,47.6,2.8,52.3,3.0,55.0,3.9,97.6,6.6,0.0,0.0,0.0,0.0,4.12,25.5,1.46,0.354,43.6,50.5,-0.026,59.6
UGC09992,Im,8.77,0.26,33.6,11.6,32.9,11.4,33.5,11.6,34.3,11.8,116.0,35.6,0.0,0.0,0.0,0.0,,,,,,,,64.2
UGC01281,Sdm,8.75,0.06,55.2,4.2,54.4,4.0,55.3,4.0,56.9,4.0,135.0,4.0,122.0,8.0,119.0,8.0,4.99,24.2,1.36,0.273,42.1,48.6,-0.055,64.6
UGC07603,Sd,8.73,0.26,61.6,3.3,45.5,2.9,56.8,3.0,64.0,3.0,154.4,7.2,118.6,8.1,114.5,8.1,4.11,22.7,1.33,0.324,41.7,47.4,-0.114,65.1
UGC08550,Sd,8.72,0.26,56.9,2.3,42.7,2.7,49.4,2.1,57.8,2.2,154.0,7.0,132.0,1.0,0.0,0.0,5.36,24.6,1.32,0.246,41.4,48.2,-0.072,62.9
UGC05918,Im,8.71,0.26,0.0,0.0,42.0,5.3,0.0,0.0,44.5,5.4,104.3,10.6,0.0,0.0,0.0,0.0,4.46,19.7,1.30,0.292,41.2,45.7,,61.2
D631-7,Im,8.68,0.05,57.7,4.1,28.1,2.5,36.5,2.2,58.5,4.4,126.0,16.5,122.5,16.5,0.0,0.0,7.19,18.2,1.26,0.175,40.5,44.4,-0.114,59.8
UGCA442,Sm,8.62,0.06,56.4,4.2,45.6,3.3,52.2,3.7,57.8,4.5,123.5,10.2,110.1,14.6,102.4,14.4,6.33,18.4,1.17,0.185,39.1,43.2,-0.116,57.2
DDO154,Im,8.59,0.06,47.0,1.7,18.9,0.9,26.2,1.0,48.2,1.4,114.6,5.0,97.4,8.4,95.1,8.4,5.92,16.3,1.13,0.191,38.4,41.7,-0.052,50.4
DDO064,Im,8.56,0.26,46.1,6.4,41.2,5.1,46.4,7.1,46.9,9.0,128.2,8.2,95.8,9.3,95.8,9.3,2.98,25.3,1.09,0.367,37.8,45.5,-0.006,58.1
NGC4068,Im,8.51,0.07,0.0,0.0,27.0,3.4,40.4,6.6,41.9,6.7,116.6,13.6,93.6,12.9,92.1,12.8,2.33,25.5,1.03,0.443,36.7,44.7,,61.3
UGC07559,Im,8.45,0.06,0.0,0.0,23.9,3.3,30.3,3.3,32.1,3.4,90.3,6.5,0.0,0.0,0.0,0.0,2.53,19.8,0.96,0.381,35.5,40.6,,55.4
D512-2,Im,8.43,0.27,0.0,0.0,36.6,6.0,0.0,0.0,37.2,6.1,113.4,20.8,107.4,20.4,0.0,0.0,,,,,,,,63.9
NGC3741,Im,8.41,0.06,50.1,3.1,16.8,2.4,22.0,2.3,51.6,3.5,108.5,7.5,90.5,8.3,84.1,8.3,7.00,13.7,0.92,0.132,34.6,37.2,-0.129,46.4
UGC05764,Im,8.41,0.26,0.0,0.0,55.7,5.7,55.1,5.6,55.8,5.7,142.0,15.9,122.4,16.5,121.2,16.4,3.62,21.2,0.92,0.254,34.6,40.6,,53.6
UGC07866,Im,8.34,0.06,0.0,0.0,26.1,4.7,29.9,4.9,33.1,5.1,93.6,10.4,0.0,0.0,0.0,0.0,2.32,18.4,0.85,0.366,33.3,38.0,,56.3
ESO444-G084,Im,8.33,0.10,0.0,0.0,41.1,7.5,49.8,9.5,63.1,10.7,141.5,25.7,0.0,0.0,0.0,0.0,4.44,15.7,0.84,0.189,33.1,36.6,,52.3
KK98-251,Im,8.29,0.26,33.7,2.7,34.4,2.7,33.7,2.7,34.6,2.7,0.0,0.0,0.0,0.0,0.0,0.0,3.13,19.5,0.80,0.256,32.3,37.8,+0.049,53.6
UGC07232,Im,8.07,0.08,0.0,0.0,36.0,3.8,0.0,0.0,44.0,4.0,91.0,7.7,0.0,0.0,0.0,0.0,,,,,,,,55.6
UGCA444,Im,7.98,0.06,37.0,6.3,32.1,4.4,23.1,3.1,38.3,7.8,75.7,6.1,56.2,8.0,56.2,8.0,,,,,,,,41.5
UGC07577,Im,7.91,0.06,0.0,0.0,0.0,0.0,16.2,3.2,17.8,3.2,57.2,5.2,41.5,8.1,40.4,8.1,1.69,12.4,0.52,0.306,26.0,28.8,,49.3
NGC6789,BCD,7.86,0.09,0.0,0.0,58.5,12.1,0.0,0.0,60.4,12.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,54.7
D564-8,Im,7.74,0.06,0.0,0.0,18.1,2.1,19.0,2.2,25.0,2.6,79.7,16.8,79.7,16.8,0.0,0.0,3.07,8.9,0.43,0.139,23.6,25.2,,47.4
CamB,Im,7.73,0.10,0.0,0.0,12.6,1.6,0.0,0.0,20.1,1.7,0.0,0.0,0.0,0.0,0.0,0.0,1.79,12.6,0.42,0.235,23.4,26.6,,52.7
UGC04483,Im,7.69,0.09,0.0,0.0,17.1,1.7,19.8,1.4,24.3,2.4,89.6,22.2,0.0,0.0,0.0,0.0,1.21,13.4,0.40,0.332,22.9,26.5,,42.0
