 720  77 26.9 11.27  29.1 E5      F 1745 227  28.252077 -13.738653
 821  88 23.4 11.00  43.2 E6      F 1718 193  32.088083  10.994917
1023 210 11.1 10.99  48.0 S0      G  602 183  40.100042  39.063285
1400 101 26.8 11.08  25.6 E1/S0   G  558 236  54.878483 -18.688070
1407 405 26.8 11.60  93.4 E0      G 1779 252  55.049417 -18.580111
2768 179 21.8 11.21  60.3 E6/S0   G 1353 206 137.906250  60.037222
2974  60 20.9 10.93  30.2 E4/S0   F 1887 231 145.638667  -3.699139
3115 179  9.4 10.93  36.5 S0      F  663 248 151.308250  -7.718583
3377 217 10.9 10.50  45.4 E5-6    G  690 135 161.926380  13.985916
3607  50 22.2 11.39  48.2 S0      G  942 229 169.227665  18.051756
3608  41 22.3 11.03  42.9 E1-2    G 1226 179 169.245632  18.148684
4111  45 14.6 10.52  10.1 S0      G  792 161 181.763052  43.065720
4278 348 15.6 10.95  28.3 E1-2    G  620 228 185.028434  29.280756
4365 308 23.1 11.51  77.8 E3      G 1243 253 186.117852   7.3176728
4374  44 18.5 11.51 139.0 E1      C 1017 284 186.265597  12.886983
4459  60 16.0 10.98  48.3 S0      C 1192 170 187.250037  13.978373
4473 106 15.2 10.96  30.2 E5      C 2260 189 187.453628  13.429359
4474  32 15.5 10.23  17.0 S0      C 1611  88 187.473113  14.068589
4486 654 16.7 11.62  86.6 E0/cD   C 1284 307 187.705930  12.391123
4494 108 16.6 11.02  52.5 E1-2    G 1342 157 187.850433  25.775252
4526 142 16.4 11.26  32.4 S0      C  617 233 188.512856   7.6995240
4564  76 15.9 10.58  14.8 E6      C 1155 153 189.112428  11.439283
4649 432 16.5 11.60  79.2 E2/S0   C 1110 308 190.916564  11.552706
4697  98 12.5 11.15  95.8 E6      G 1252 180 192.149491  -5.8007419
5846 250 24.2 11.46  89.8 E0-1/S0 G 1712 231 226.622017   1.6056250
5866  46 14.9 10.83  23.4 S0      G  755 163 226.622912  55.763213
7457 136 12.9 10.13  34.1 S0      F  844  74 345.249726  30.144941
