full_name,diameter,rot_per,albedo,class,H,GM
  5623 Iwamori (1990 UY),14.330,7.087,0.164,MBA,12.05,
  5625 Jamesferguson (1991 AO2),14.790,6.6735,0.061,MBA,13.14,
  5627 Short (1991 MA),2.679,5.365,0.519,IMB,14.38,
  5629 Kuwana (1993 DA1),14.176,5.197,0.193,MBA,11.92,
  5630 Billschaefer (1993 FZ),4.785,69.,0.308,MBA,13.78,
  5633 (1978 UL7),4.524,7.212,0.391,MBA,13.56,
  5635 Cole (1981 ER5),3.528,5.7937,0.294,MBA,14.24,
  5636 Jacobson (1985 QN),7.843,4.9,0.218,MBA,12.86,
  5638 Deikoon (1988 TA3),41.455,9.243,0.071,TJN,10.55,
  5639 Cuk (1989 PE),3.427,23.3,0.198,IMB,14.96,
  5641 McCleese (1990 DJ),5.68,418,0.291,MCA,14.04,
  5642 Bobbywilliams (1990 OK1),3.167,4.8341,0.433,MCA,14.19,
  5644 Maureenbell (1990 QG2),15.926,239.053,0.090,MBA,12.25,
  5645 (1990 SP),1.668,30.39,0.121,APO,17.23,
  5646 (1990 TR),4.3,3.1999,0.223,AMO,15.51,
  5647 Sarojininaidu (1990 TZ),8.610,6.144,0.297,MBA,12.29,
  5648 Axius (1990 VU1),59.295,37.56,0.073,TJN,9.82,
  5650 Mochihito-o (1990 XK),11.395,19.6,0.259,MBA,12.12,
  5652 Amphimachus (1992 HS3),53.921,8.374,0.061,TJN,10.21,
  5653 Camarillo (1992 WD5),1.537,4.834,0.271,AMO,16.22,
  5654 Terni (1993 KG),18.720,9.255,0.055,MBA,12.73,
  5655 Barney (1159 T-2),6.599,2.661,0.256,MBA,13.33,
  5657 Groombridge (1936 QE1),7.370,7.4349,0.296,MBA,13.14,
  5661 Hildebrand (1977 PO1),34.37,6.803,0.1364,OMB,11.09,
  5663 McKeegan (1981 EQ12),5.487,4.769,0.093,MBA,14.96,
  5665 Begemann (1982 BD13),3.606,51.661,0.450,MBA,14.06,
  5666 Rabelais (1982 TP1),12.345,9.63527,0.053,MBA,13.56,
  5667 Nakhimovskaya (1983 QH1),4.685,42.457,0.304,MBA,14.13,
  5668 Foucault (1984 FU),5.052,2.554,0.229,MBA,13.71,
  5670 Rosstaylor (1985 VF2),29.619,6.971,0.073,MBA,11.54,
  5671 Chanal (1985 XR),8.159,9.425,0.209,MBA,12.75,
  5672 Libby (1986 EE2),6.602,131.056,0.183,MBA,13.22,
  5673 McAllister (1986 RT2),5.278,5.81,0.333,MBA,13.60,
  5674 Wolff (1986 RW2),6.039,93.7,0.193,MBA,13.47,
  5676 Voltaire (1986 RH12),10.433,5.039,0.235,MBA,12.54,
  5677 Aberdonia (1987 SQ1),8.798,5.081,0.250,MBA,12.72,
  5682 Beresford (1990 TB),4.125,3.769,0.365,MCA,13.77,
  5685 Sanenobufukui (1990 XA),12.993,3.388,0.240,MBA,11.74,
  5687 Yamamotoshinobu (1991 AB1),14.132,154.868,0.321,MBA,11.40,
  5690 (1992 EU),5.791,5,0.041,MBA,13.28,
  5691 Fredwatson (1992 FD),5.517,106,0.421,MBA,13.40,
  5692 Shirao (1992 FR),9.548,2.8878,0.223,MBA,12.56,
  5700 Homerus (5166 T-3),5.774,4.95518,0.278,MBA,13.52,
  5701 Baltuck (1929 VS),8.605,4.8328,0.262,MBA,12.76,
  5702 Morando (1931 FC),5.133,9.5,0.219,MBA,13.93,
  5703 Hevelius (1931 VS),5.859,3.4566,0.390,MBA,13.11,
  5706 Finkelstein (1971 SS1),14.446,8.251,0.070,MBA,13.02,
  5709 Tamyeunleung (1977 TS3),18.36,3.562,0.0831,MBA,12.58,
  5711 Eneev (1978 SO4),38.81,107.1,0.0426,OMB,11.16,
  5712 Funke (1979 SR),7.202,3.9481,0.283,MBA,13.07,
  5713 (1982 FF3),3.942,7,0.540,MBA,13.85,
  5714 Krasinsky (1982 PR),19.916,18.184,0.070,MBA,12.34,
  5716 Pickard (1982 UH),9.109,9.6,0.070,MBA,14.17,
  5720 Halweaver (1984 FN),4.293,3.8883,0.310,MCA,13.84,
  5721 (1984 SO5),8.479,7.66064,0.129,MBA,13.53,
  5723 Hudson (1986 RR2),2.882,4.475115,0.444,MBA,14.35,
  5724 (1986 WE),5.692,9.8258,0.372,MBA,13.66,
  5726 Rubin (1988 BN2),5.233,7.6,0.328,MBA,13.59,
  5730 Yonosuke (1988 TP1),8.225,5.45,0.314,MBA,12.56,
  5733 (1989 AQ),20.670,157.767,0.041,OMB,12.72,
  5735 Loripaul (1989 LM),4.047,7.227,0.260,MBA,14.14,
  5736 Sanford (1989 LW),5.060,3.1846,0.250,MBA,13.93,
  5740 Toutoumi (1989 WM3),8.856,11.68,0.191,MBA,12.70,
  5741 Akanemaruta (1989 XC),8.543,4.573,0.201,MBA,12.81,
  5742 (1990 TN4),17.205,9.43206,0.124,MBA,11.87,
  5743 Kato (1990 UW),5.279,14.269,0.334,MBA,13.52,
  5747 Williamina (1991 CO3),9.283,196.45,0.154,MBA,12.79,
  5748 Davebrin (1991 DX),4.688,8.94458,0.275,MBA,13.79,
  5750 Kandatai (1991 GG1),13.040,9.264,0.212,MBA,12.09,
  5751 Zao (1992 AC),2.3,76,0.36,AMO,14.94,
  5752 (1992 CJ),4.808,86,0.334,MBA,13.70,
  5754 (1992 FR2),6.337,8.9021,0.277,MBA,12.98,
  5755 (1992 OP7),15.247,5.5752,0.191,MBA,11.87,
  5757 Ticha (1967 JN),20.931,31.237,0.064,MBA,12.36,
  5759 Zoshchenko (1980 BJ4),6.997,4.203,0.396,MBA,13.13,
  5760 Mittlefehldt (1981 EX13),10.551,5.4872,0.132,MBA,13.14,
  5762 Wanke (1981 EG28),3.991,3.835,0.335,MBA,14.11,
  5764 (1985 CS1),5.212,13.7705,0.341,MBA,13.54,
  5765 Izett (1986 GU),8.985,8.9553,0.270,MBA,12.62,
  5767 Moldun (1986 RV2),4.103,25.648,0.264,MBA,14.32,
  5769 Michard (1987 PL),12.061,3.35,0.176,MBA,12.47,
  5770 Aricam (1987 RY),14.302,13.91,0.077,OMB,12.79,
  5771 Somerville (1987 ST1),28.306,9.2,0.029,MBA,12.45,
  5773 Hopper (1989 NO),4.583,108.986,0.335,MBA,13.73,
  5775 Inuyama (1989 SP),7.385,4.8345,0.337,MBA,12.87,
  5778 Jurafrance (1989 YF5),10.206,4.14,0.323,MBA,11.97,
  5779 Schupmann (1990 BC1),11.435,3.751334,0.149,MBA,12.70,
  5781 Barkhatova (1990 SM28),5.653,2.8161,0.242,MBA,13.78,
  5782 Akirafujiwara (1991 AF),4.718,15.7872,0.240,MBA,14.04,
  5784 Yoron (1991 CY),6.799,11.046,0.318,MBA,13.28,
  5792 Unstrut (1964 BF),13.200,6.59007,0.034,MBA,13.38,
  5795 Roshchina (1978 SH1),4.924,5.376907,0.331,MBA,13.70,
  5796 Klemm (1978 VK5),5.659,3.929,0.264,MBA,13.56,
  5797 Bivoj (1980 AA),0.4,2.706,,AMO,18.89,
  5798 Burnett (1980 RL7),8.644,7.482,0.239,MBA,12.61,
  5802 Casteldelpiano (1984 HL1),4.894,2.9705,0.378,MBA,13.39,
  5803 Otzi (1984 OA),15.614,3.634,0.070,MBA,12.73,
  5804 Bambinidipraga (1985 RL1),6.044,11.379,0.254,MBA,13.62,
  5806 Archieroy (1986 AG1),6.785,12.163,0.291,IMB,13.18,
  5807 Mshatka (1986 QA4),12.639,129.751,0.111,MBA,13.13,
  5808 Babel' (1987 QV10),13.370,30.1,0.172,MBA,12.14,
  5811 Keck (1988 KC),7.646,30,0.256,MBA,12.98,
  5813 Eizaburo (1988 VL),7.195,2.876,0.341,MBA,12.79,
  5815 Shinsengumi (1989 AH),18.081,37.923,0.094,MBA,12.28,
  5817 Robertfrazer (1989 RZ),6.497,4.05083,0.297,MCA,12.99,
  5820 Babelsberg (1989 UF7),11.238,114.9,0.044,MBA,13.90,
  5823 Oryo (1989 YH),8.708,2.7939,0.177,MBA,12.84,
  5826 Bradstreet (1990 DB),18.818,5.55,0.125,MBA,12.12,
  5827 Letunov (1990 VB15),5.228,152.,0.235,MBA,13.78,
  5828 (1991 AM),1.457,2.6666,0.331,APO,15.98,
  5830 Simohiro (1991 EG),3.021,58.052,0.336,MBA,15.05,
  5831 Dizzy (1991 JG),15.677,9.074,0.042,MBA,13.09,
  5833 Peterson (1991 PQ),27.077,27.441,0.105,OMB,11.21,
  5834 Kasai (1992 SZ14),12.191,3.21483,0.226,MBA,12.10,
  5836 (1993 MF),2.754,4.9543,0.156,AMO,14.99,
  5837 Hedin (2548 P-L),11.524,7.726,0.133,MBA,13.25,
  5838 Hamsun (2170 T-2),4.882,2.62717,0.355,MBA,13.58,
  5839 GOI (1974 SJ3),24.675,6.303,0.044,MBA,11.87,
  5841 Stone (1982 ST),2.217,2.89,0.988,IMB,14.51,
  5842 Cancelli (1986 CV1),5.590,184.66,0.472,MBA,12.98,
  5845 Davidbrewster (1988 QP),17.337,5.00951,0.085,MBA,12.53,
  5849 Bhanji (1990 HF1),28.39,8.733,0.1823,MBA,11.16,
  5850 Masaharu (1990 XM),3.342,301.69,0.334,MBA,14.37,
  5852 Nanette (1991 HO),23.738,5.606,0.043,MBA,12.32,
  5853 (1992 QG),6.295,6.61607,0.309,MBA,13.14,
  5854 (1992 UP),17.727,7.1296,0.068,MBA,12.52,
  5855 Yukitsuna (1992 UO2),11.100,19.04,0.273,MBA,12.13,
  5858 Borovitskia (1978 SU5),5.629,7.553,0.464,MBA,13.08,
  5863 Tara (1983 RB),1.345,5.867,0.488,AMO,15.81,
  5865 Qualytemocrina (1984 QQ),5.956,2.41634,0.138,MBA,13.87,
  5868 Ohta (1988 TQ),8.383,12.631,0.079,MBA,14.32,
  5870 Baltimore (1989 CC1),7.54,4.989,0.2150,MCA,13.43,
  5871 Bobbell (1989 CE2),2.384,30.21,0.856,IMB,14.26,
  5873 Archilochos (1989 SB3),4.136,3.530262,0.103,MBA,14.34,
  5875 Kuga (1989 XO),7.465,5.551,0.443,MBA,12.56,
  5876 (1990 DM2),7.072,5.441,0.268,MBA,13.00,
  5877 Toshimaihara (1990 FP),6.611,8.91,0.337,MBA,13.18,
  5878 Charlene (1991 CC1),6.387,7.0584,0.227,MBA,13.36,
  5881 Akashi (1992 SR12),8.796,4.283,0.250,MBA,12.70,
  5883 Josephblack (1993 VM5),21.092,17.542,0.036,MBA,11.99,
  5885 Apeldoorn (3137 T-2),17.292,5.55619,0.094,MBA,12.32,
  5886 Rutger (1975 LR),17.270,3.32491,0.179,MBA,11.61,
  5887 Yauza (1976 SG2),5.383,54.78,0.228,MBA,13.50,
  5889 Mickiewicz (1979 FA3),26.414,6.1412,0.039,MBA,12.42,
  5890 Carlsberg (1979 KG),8.099,3.43351,0.257,MBA,12.38,
  5891 Gehrig (1981 SM),5.514,3.57,0.359,MBA,13.46,
  5892 Milesdavis (1981 YS1),3.710,10.59,0.411,MBA,13.77,
  5894 Telc (1982 RM1),5.866,17.65,0.204,MBA,13.46,
  5895 Zbirka (1982 UF2),4.017,28.68,0.357,MBA,14.04,
  5899 Jedicke (1986 AH),2.672,2.7481,0.621,IMB,14.23,
  5902 Talima (1987 QY10),13.302,22.3628,0.251,MBA,12.36,
  5903 (1989 AN1),6.565,485.9,0.341,MBA,13.11,
  5905 Johnson (1989 CJ1),4.728,3.7824,0.198,IMB,13.92,
  5913 (1990 BU),10.924,52,0.214,MBA,12.26,
  5914 Kathywhaler (1990 WK),38.097,38.73,0.062,OMB,11.03,
  5915 Yoshihiro (1991 EU),3.784,5.84,0.382,MBA,13.91,
  5917 Chibasai (1991 NG),10.060,2.651,0.252,MBA,12.37,
  5920 Davidbell (1992 SX17),16.514,2.93681,0.283,MBA,11.26,
  5924 Teruo (1994 CH1),13.580,9.993,0.059,MBA,13.52,
  5925 (1994 CP1),6.054,5.4002,0.304,MBA,13.39,
  5927 Krogh (1938 HA),15.807,4.8407,0.059,MBA,13.05,
  5928 Pindarus (1973 SK1),30.402,415.5,0.053,OMB,11.65,
  5929 Manzano (1974 XT),4.217,3.7596,0.411,MCA,13.52,
  5931 Zhvanetskij (1976 GK3),20.927,12.006,0.053,MBA,12.18,
  5932 Prutkov (1976 GO3),5.920,2931.,0.220,MBA,13.71,
  5934 Mats (1976 SJ),3.971,5.184,0.347,MBA,13.96,
  5935 Ostankino (1977 EF1),6.891,12.7145,0.178,MBA,13.00,
  5937 Loden (1979 XQ),5.161,2.9189,0.290,MBA,13.67,
  5940 Feliksobolev (1981 TJ4),12.320,7.62,0.243,MBA,12.00,
  5942 Denzilrobert (1983 AN2),13.789,14.31031,0.233,MBA,11.83,
  5945 Roachapproach (1984 SQ3),6.522,5.6047,0.182,MBA,13.39,
  5947 Bonnie (1985 FD),10.546,13.414,0.276,MBA,12.29,
  5951 Alicemonet (1986 TZ1),5.894,3.8871,0.293,MBA,13.41,
  5952 Davemonet (1987 EV),4.861,4.5132,0.271,MBA,13.74,
  5957 Irina (1988 JN),15.271,10.807,0.100,OMB,12.52,
  5958 Barrande (1989 BS1),5.301,2.803841,0.228,MBA,13.91,
  5959 Shaklan (1989 NB1),19.94,13.172,0.1770,MBA,12.43,
  5960 Wakkanai (1989 US),4.665,4.961,0.295,MBA,13.92,
  5961 Watt (1989 YH1),3.700,3.1684,0.468,MBA,13.94,
  5967 Edithlevy (1991 CM5),3.059,66,0.570,IMB,13.80,
  5968 Trauger (1991 FC),4.807,3.7879,0.186,IMB,14.45,
  5970 Ohdohrikouen (1991 JS1),3.894,2.6536,0.423,MBA,14.05,
  5971 Tickell (1991 NT2),8.719,2.99705,0.368,MBA,12.53,
  5972 Harryatkinson (1991 PS12),9.880,3.376,0.314,MBA,12.08,
  5973 Takimoto (1991 QC),7.286,11.54,0.230,MBA,13.29,
  5976 Kalatajean (1992 SR2),11.137,4.55362,0.226,MBA,12.18,
  5978 Kaminokuni (1992 WT),6.133,7.063,0.325,MBA,13.22,
  5979 (1992 XF),11.838,3.60185,0.182,MBA,12.54,
  5982 Polykletus (4862 T-1),7.362,75.217,0.271,MBA,12.93,
  5983 Praxiteles (2285 T-2),5.686,57.9507,0.261,MBA,13.79,
  5984 Lysippus (4045 T-3),5.716,4.8707,0.149,MBA,13.96,
  5985 (1942 RJ),6.212,9.7212,0.194,MBA,13.49,
  5986 Xenophon (1969 TA),8.208,6.921,0.199,MBA,13.06,
  5987 Liviogratton (1975 LQ),4.669,3.2,0.204,MBA,13.90,
  5988 Gorodnitskij (1976 GN2),6.305,18.9677,0.307,MBA,13.30,
  5991 Ivavladis (1979 HE3),4.160,43.92,0.213,MBA,14.26,
  5996 Julioangel (1983 NR),8.584,9.741,0.219,MBA,12.71,
  5999 Plescia (1987 HA),7.078,5.392,0.067,MCA,14.64,
  6000 United Nations (1987 UN),11.000,3.262,0.211,MBA,12.17,
  6001 Thales (1988 CP2),8.575,133.12,0.219,MBA,12.77,
  6002 Eetion (1988 RO),40.408,12.918,0.075,TJN,10.59,
  6006 Anaximandros (1989 GB4),7.494,2.74,0.239,MBA,12.94,
  6008 (1990 BF2),3.707,149.228,0.513,MBA,14.13,
  6009 Yuzuruyoshii (1990 FQ1),10.319,3.03054,0.151,MBA,13.12,
  6010 Lyzenga (1990 OE),6.273,4.5955,0.258,MBA,13.49,
  6012 Williammurdoch (1990 SK4),6.234,2.89,0.239,MBA,13.30,
  6016 Carnelli (1991 PA11),3.526,2.8028,0.818,MBA,13.62,
  6017 Robertmorehead (1991 PY11),3.543,1.3,0.674,MBA,14.18,
  6018 Pierssac (1991 PS16),5.626,68.9,0.322,MBA,13.44,
  6019 Telford (1991 RO6),15.985,5.76,0.174,MBA,11.81,
  6021 (1991 TM),5.456,6.973,0.374,MBA,13.43,
  6025 Naotosato (1992 YA3),18.442,27.016,0.188,MBA,11.56,
  6026 Xenophanes (1993 BA8),11.699,3.7817,0.118,MBA,12.79,
  6027 Waratah (1993 SS2),7.091,46.927,0.271,MBA,12.92,
  6028 (1994 ER1),7.394,3.53,0.354,MBA,12.98,
  6029 Edithrand (1948 AG),2.271,14.472,0.784,IMB,14.12,
  6030 Zolensky (1981 EG36),9.287,3.59016,0.205,MBA,12.72,
  6033 Southwood (1984 SQ4),15.914,35.53,0.084,MBA,12.63,
  6035 Citlaltepetl (1987 OR),4.211,17.9,0.362,MBA,14.01,
  6045 (1991 RG9),4.561,12.345,0.302,MBA,13.97,
  6050 Miwablock (1992 AE),2.884,5.7566,0.257,AMO,14.94,
  6051 Anaximenes (1992 BX1),8.825,2.9402,0.299,MBA,12.56,
  6052 Junichi (1992 CE1),24.771,17.173,0.100,OMB,11.26,
  6053 (1993 BW3),3.720,2.573,0.140,APO,15.10,
  6056 Donatello (2318 T-3),12.390,6.224,0.050,MBA,13.64,
  6057 Robbia (5182 T-3),29.368,5.801,0.043,OMB,12.03,
  6060 Doudleby (1980 DX),6.780,11.878,0.243,MBA,13.15,
  6062 Vespa (1983 JQ),17.275,8.407,0.078,OMB,12.53,
  6063 Jason (1984 KB),1.4,48.6,0.21,APO,16.02,
  6064 Holasovice (1987 HE1),4.372,337.394,0.369,MBA,13.81,
  6065 Chesneau (1987 OC),5.494,33.15,0.369,MBA,13.32,
  6066 Hendricks (1987 SZ3),4.514,5.78,0.345,MBA,13.92,
  6067 Donutil (1990 QR11),13.779,87.492,0.256,MBA,11.63,
  6071 Sakitama (1992 AS1),9.586,4.437,0.306,MBA,12.36,
  6072 Hooghoudt (1280 T-1),15.225,4.268,0.132,MBA,12.26,
  6073 Tahtiseuraursa (1939 UB),8.852,5.897,0.326,MBA,12.39,
  6082 Timiryazev (1982 UH8),6.922,133.873,0.308,MBA,13.08,
  6083 Janeirabloom (1984 SQ2),3.983,10.151,0.193,MBA,14.54,
  6084 Bascom (1985 CT),6.347,2.74542,0.220,MBA,12.95,
  6085 Fraethi (1987 SN3),5.004,5.556,0.213,MBA,14.20,
  6086 Vrchlicky (1987 VU),7.618,2.76772,0.401,MBA,12.34,
  6087 Lupo (1988 FK),1.544,4.712,0.977,IMB,14.90,
  6090 Aulis (1989 DJ),59.568,18.476,0.087,TJN,9.56,
  6091 Mitsuru (1990 DA1),4.370,5.853,0.305,MBA,13.54,
  6093 Makoto (1990 QP5),5.853,9.90128,0.205,MBA,13.12,
  6094 Hisako (1990 VQ1),9.345,4.05,0.222,MBA,12.51,
  6095 (1991 UU),5.335,80,0.206,MBA,13.74,
  6096 (1991 UB2),3.988,6.465,0.306,MBA,14.28,
  6097 Koishikawa (1991 UK2),5.225,2.85979,0.448,MBA,13.47,
  6098 Mutojunkyu (1991 UW3),3.683,2.779,0.359,MBA,14.45,
  6100 Kunitomoikkansai (1991 VK4),4.057,30.267,0.468,MBA,13.62,
  6102 Visby (1993 FQ25),4.473,3.28,0.292,MBA,13.96,
  6107 Osterbrock (1948 AF),4.363,2.372,0.211,IMB,14.53,
  6108 Glebov (1971 QN),3.385,2.831,0.367,MBA,14.40,
  6111 Davemckay (1979 SP13),8.659,7.1,0.045,MBA,13.21,
  6112 Ludolfschultz (1981 DB1),7.869,4.8096,0.285,MBA,12.81,
  6115 Martinduncan (1984 SR2),4.936,5.894,0.166,MBA,14.04,
  6116 Still (1984 UB3),8.925,8.513,0.267,MBA,12.60,
  6121 Plachinda (1987 RU3),5.437,4.0863,0.272,MBA,13.59,
  6122 Henrard (1987 SW1),9.005,9.16,0.073,MBA,13.91,
  6124 Mecklenburg (1987 SL10),19.592,6.159,0.067,OMB,12.46,
  6125 Singto (1989 CN),3.956,10.2642,0.287,MBA,13.90,
  6135 Billowen (1990 RD9),10.969,28.463,0.111,MBA,13.09,
  6136 Gryphon (1990 YH),15.583,16.476,0.185,MBA,11.72,
  6138 Miguelhernandez (1991 JH1),4.824,5.457,0.251,MBA,13.98,
  6139 Naomi (1992 AD1),9.493,21.35,0.316,MBA,12.37,
  6142 Tantawi (1993 FP),9.167,18.133,0.092,MBA,13.86,
  6143 Pythagoras (1993 JV),7.988,13.84,0.277,MBA,12.75,
  6144 Kondojiro (1994 EQ3),32.492,4,0.042,AST,11.68,
  6146 Adamkrafft (3262 T-2),5.205,6.964,0.285,MBA,13.82,
  6147 Straub (1081 T-3),6.997,10.9,0.167,MBA,13.00,
  6149 Pelcak (1979 SS),3.959,75.0866,0.258,MBA,14.42,
  6151 Viget (1987 WF),5.270,2.8068,0.304,MBA,13.61,
  6153 Hershey (1990 OB),19.397,6.094,0.030,MBA,13.19,
  6155 Yokosugano (1990 VY2),5.754,3.28234,0.533,MBA,13.13,
  6158 Shosanbetsu (1991 VB3),4.498,16.757,0.418,MBA,13.85,
  6159 Andreseloy (1991 YH),5.263,10.639,0.484,MBA,13.59,
  6161 Vojno-Yasenetsky (1971 TY2),17.180,7.983,0.060,MBA,12.74,
  6163 Reimers (1977 FT),2.361,6.68,0.502,IMB,14.38,
  6166 Univsima (1978 SP4),12.049,9.6,0.176,MBA,12.39,
  6167 Narmanskij (1979 QB10),3.973,5.41192,0.308,MBA,14.24,
  6168 Isnello (1981 EB1),10.280,10.466,0.152,MBA,12.96,
  6169 Sashakrot (1981 EX4),10.254,250.055,0.140,MBA,12.96,
  6173 Jimwestphal (1983 AD),7.846,2.908,0.287,MBA,12.73,
  6174 Polybius (1983 TR2),21.008,8.712,0.076,MBA,12.01,
  6175 Cori (1983 XW),15.125,8.52,0.070,MBA,12.81,
  6177 Fecamp (1986 CE2),4.795,4.4559,0.368,MBA,13.75,
  6178 (1986 DA),2.3,3.5002,0.15,AMO,15.71,
  6181 Bobweber (1986 RW),4.458,2.75796,0.425,MBA,13.72,
  6183 Viscome (1987 SF7),6.792,453,0.124,MCA,13.80,
  6184 Nordlund (1987 UQ3),4.722,5.60413,0.456,MBA,13.43,
  6185 Mitsuma (1987 YD),9.949,21.05,0.074,MBA,13.27,
  6187 Kagura (1988 RD5),14.487,40.979,0.067,MBA,12.85,
  6189 Volk (1989 EY2),3.982,2.896,0.443,MBA,13.73,
  6192 Javiergorosabel (1990 KB1),6.455,78.85,0.353,MBA,12.90,
  6193 Manabe (1990 QC1),9.744,3.24384,0.093,MBA,13.58,
  6199 Yoshiokayayoi (1992 BK1),9.663,3.373,0.300,MBA,12.34,
  6200 Hachinohe (1993 HL),4.622,78.327,0.312,MBA,13.56,
  6205 Menottigalli (1983 OD),8.209,15.252,0.121,MBA,13.80,
  6209 Schwaben (1990 TF4),4.712,28.497,0.190,MBA,14.06,
  6210 Hyunseop (1991 AX1),8.670,2.918,0.235,MBA,12.73,
  6211 Tsubame (1991 DO),5.752,2.69802,0.444,MBA,13.26,
  6212 Franzthaler (1993 MS1),11.198,6.898,0.102,MBA,12.81,
  6217 Kodai (1975 XH),8.283,3.613,0.062,MBA,14.54,
  6221 Ducentesima (1980 GO),13.205,13.788,0.064,MBA,13.07,
  6223 Dahl (1980 RD1),19.634,3.334,0.033,MBA,12.81,
  6229 Tursachan (1983 VN7),11.603,16.596,0.076,MBA,13.43,
  6233 Kimura (1986 CG),9.886,7.09778,0.066,MBA,14.01,
  6234 Sheilawolfman (1986 SF),4.679,11.784,0.222,MBA,13.94,
  6235 Burney (1987 VB),4.083,15.515,0.351,MBA,14.07,
  6236 Mallard (1988 WF),13.143,176.266,0.059,MBA,13.41,
  6237 Chikushi (1989 CV),37.4,7.787,0.0348,OMB,11.65,
  6238 Septimaclark (1989 NM),7.766,10.833,0.249,MBA,12.78,
  6241 Galante (1989 TG),12.116,16.5876,0.109,MBA,12.54,
  6242 (1990 OJ2),3.785,5.475,0.296,MBA,13.97,
  6245 Ikufumi (1990 SO4),8.105,2.9222,0.129,MBA,13.35,
  6246 Komurotoru (1990 VX2),5.606,3.2771,0.285,MBA,13.46,
  6247 Amanogawa (1990 WY3),6.722,12.38,0.165,MBA,13.47,
  6248 Bardon (1991 BM2),10.994,16.644,0.092,MBA,13.31,
  6251 Setsuko (1992 DB),5.747,25.324,0.233,MBA,13.85,
  6253 (1992 FJ),4.055,5.72332,0.296,MBA,14.20,
  6254 (1993 UM3),12.447,7.04,0.238,MBA,12.44,
  6255 Kuma (1994 XT),16.955,9.7,0.060,MBA,13.04,
  6257 Thorvaldsen (4098 T-1),4.278,82.654,0.384,MBA,13.97,
  6258 Rodin (3070 T-2),4.003,5.2956,0.400,MBA,13.77,
  6259 Maillol (3236 T-2),4.464,2.3582,0.353,MBA,13.97,
  6260 Kelsey (1949 PN),11.196,5.11,0.140,MBA,12.16,
  6262 Javid (1978 RZ),7.791,8.02,0.291,MBA,12.79,
  6265 (1985 TW3),4.954,2.70932,0.285,MBA,13.69,
  6266 Letzel (1986 TB3),4.734,28.,0.370,MBA,13.70,
  6271 Farmer (1991 NF),5.641,250,0.363,IMB,13.82,
  6274 Taizaburo (1992 FV),4.923,3.13,0.265,MBA,13.88,
  6276 Kurohone (1994 AB),6.952,6.345,0.180,MBA,13.22,
  6279 (1977 UO5),16.508,9.964,0.055,MBA,12.87,
  6280 Sicardy (1980 RJ),4.270,3.5384,0.435,MBA,13.59,
  6287 Lenham (1984 AR),11.074,5.623,0.144,MBA,13.09,
  6289 Lanusei (1984 HP1),11.633,12.901,0.099,MBA,12.94,
  6296 Cleveland (1988 NC),3.179,30.84,0.481,IMB,14.48,
  6297 (1988 VZ1),16.325,4.441968,0.080,MBA,12.71,
  6299 Reizoutoyoko (1988 XQ1),8.980,8.397,0.263,MBA,12.46,
  6302 Tengukogen (1989 CF),5.299,3.092,0.629,MBA,13.34,
  6304 Josephus Flavius (1989 GT3),4.181,6.49119,0.343,MBA,14.16,
  6306 Nishimura (1989 UL3),15.573,9.69,0.016,MBA,12.88,
  6307 Maiztegui (1989 WL7),9.544,5.29,0.335,MBA,11.99,
  6310 Jankonke (1990 KK),3.709,3.076,0.388,IMB,14.27,
  6314 Reigber (1990 SQ16),5.134,96.446,0.219,MBA,13.69,
  6317 Dreyfus (1990 UP3),5.640,5.25,0.153,MBA,14.04,
  6319 Beregovoj (1990 WJ3),4.610,6.841,0.363,MBA,13.69,
  6321 Namuratakao (1991 BV),7.664,29.9,0.330,MBA,12.64,
  6323 Karoji (1991 CY1),5.544,28.2194,0.331,MBA,13.79,
  6326 Idamiyoshi (1991 FJ1),6.856,3.138,0.376,MBA,12.94,
  6327 Tijn (1991 GP1),10.973,18.199,0.034,MBA,13.00,
  6329 Hikonejyo (1992 EU1),5.571,6.064,0.327,MBA,13.66,
  6330 Koen (1992 FN),3.166,51.604,0.389,MBA,14.40,
  6331 (1992 FZ1),5.321,9.333,0.473,MBA,13.28,
  6332 Vorarlberg (1992 FP3),12.321,7.63393,0.080,MBA,13.38,
  6335 Nicolerappaport (1992 NR),6.050,4.272,0.278,MBA,13.43,
  6338 Isaosato (1992 UO4),23.065,4.97689,0.069,MBA,11.90,
  6348 (1995 CH1),4.726,3.085,0.455,MBA,13.44,
  6349 Acapulco (1995 CN1),20.429,4.48,0.045,MBA,12.40,
  6350 Schluter (3526 P-L),21.930,13.19,0.053,MBA,12.34,
  6351 Neumann (4277 T-1),17.402,25.5695,0.084,OMB,12.39,
  6352 Schlaun (2400 T-3),4.346,13.87,0.282,MBA,14.14,
  6353 Semper (3107 T-3),15.497,24,0.074,MBA,12.78,
  6354 Vangelis (1934 GA),7.641,4.039,0.399,MBA,12.41,
  6355 Univermoscow (1969 TX5),28.38,44.027,0.0663,OMB,11.84,
  6357 Glushko (1976 SK3),10.981,39.418,0.193,MBA,12.40,
  6359 Dubinin (1977 AZ1),31.902,14.062,0.048,OMB,11.65,
  6360 (1978 UA7),5.768,10.60568,0.335,MBA,13.35,
  6361 Koppel (1978 VL11),3.642,9.1122,0.413,MBA,13.38,
  6362 Tunis (1979 KO),22.678,34.9396,0.123,MBA,12.16,
  6363 Doggett (1981 CB1),5.060,4.299,0.301,MBA,13.52,
