full_name,diameter,rot_per,albedo,class,H,GM
    89 Julia (A866 PA),145.483,11.387,0.189,MBA,6.39,
    90 Antiope (A866 TA),115.974,16.509,0.058,MBA,8.42,
    91 Aegina (A866 VA),103.402,6.025,0.048,MBA,9.12,
    92 Undina (A867 NA),126.42,15.941,0.2509,MBA,6.74,
    93 Minerva (A867 QA),154.155,5.982,0.056,MBA,7.88,
    94 Aurora (A867 RA),204.89,7.22,0.0395,MBA,7.70,
    95 Arethusa (A867 WA),147.969,8.705,0.058,MBA,7.96,
    96 Aegle (A868 DA),177.774,13.868,0.048,MBA,7.66,
    97 Klotho (A868 DB),100.717,35.15,0.128,MBA,7.78,
    98 Ianthe (A868 HA),132.788,16.479,0.029,MBA,8.94,
    99 Dike (A868 KA),67.354,18.127,0.065,MBA,9.46,
   100 Hekate (A868 NA),85.734,27.066,0.205,MBA,7.73,
   101 Helena (A868 PA),65.84,23.08,0.1898,MBA,8.39,
   102 Miriam (A868 QA),82.595,23.613,0.051,MBA,9.43,
   103 Hera (A868 RA),83.908,23.74,0.217,MBA,7.74,
   104 Klymene (A868 RB),136.553,8.984,0.052,MBA,8.52,
   105 Artemis (A868 SA),94.864,37.15,0.032,MBA,8.75,
   106 Dione (A868 TA),207.869,16.21,0.044,MBA,7.76,
   107 Camilla (A868 WA),210.370,4.844,0.059,OMB,7.09,0.7475
   108 Hecuba (A869 GB),75.498,14.256,0.148,OMB,7.97,
   109 Felicitas (A869 TA),82.588,13.191,0.036,MBA,8.98,
   110 Lydia (A870 HA),86.09,10.927,0.1808,MBA,7.83,
   111 Ate (A870 PA),126.344,22.072,0.062,MBA,8.21,
   112 Iphigenia (A870 SA),69.818,31.466,0.042,MBA,9.77,
   113 Amalthea (A871 EA),50.137,9.95,0.224,MBA,8.53,
   114 Kassandra (A871 OA),94.178,10.7431,0.089,MBA,8.45,
   115 Thyra (A871 PA),79.83,7.241,0.2747,MBA,7.75,
   116 Sirona (A871 RA),71.70,12.028,0.2560,MBA,7.77,
   117 Lomia (A871 RB),208.974,9.127,0.027,MBA,8.15,
   118 Peitho (A872 EA),40.211,7.8055,0.245,MBA,8.92,
   119 Althaea (A872 GA),57.30,11.484,0.2306,MBA,8.33,
   120 Lachesis (A872 GB),155.132,46.551,0.058,MBA,7.78,
   121 Hermione (A872 JA),209.00,5.55128,0.0482,OMB,7.39,
   122 Gerda (A872 OA),70.676,10.685,0.297,OMB,7.67,
   123 Brunhild (A872 OB),45.209,9.873,0.261,MBA,8.96,
   124 Alkeste (A872 QA),88.648,9.906,0.128,MBA,8.05,
   125 Liberatrix (A872 RA),48.418,3.968,0.182,MBA,8.92,
   126 Velleda (A872 VA),44.82,5.3672,0.1723,MBA,9.23,
   127 Johanna (A872 VB),122,12.7988,0.042,MBA,8.54,
   128 Nemesis (A872 WA),162.515,38.9325,0.067,MBA,7.68,
   129 Antigone (A873 CA),113,4.9572,0.151,MBA,7.02,
   130 Elektra (A873 DA),180.652,5.225,0.086,MBA,7.46,
   131 Vala (A873 KA),31.337,5.1812,0.246,MBA,10.04,
   132 Aethra (A873 LA),42.87,5.1684,0.1990,MCA,8.96,
   133 Cyrene (A873 QA),72.175,12.708,0.279,MBA,8.04,
   134 Sophrosyne (A873 SA),108,17.196,0.0364,MBA,8.96,
   135 Hertha (A874 DA),79.24,8.403,0.1436,MBA,8.31,
