KIC,Teff,E_Teff,e_Teff,logg,E_logg,e_logg,Mass,E_Mass,e_Mass,Prot,E_Prot,Sph,flag1,flag2,flag3,flag4
10973652,6259.4,112.8,104.2,3.82,0.029,0.033,1.634,0.064,0.087,10.18,1.39,2374,,1,0,
10973814,5707.8,94.9,93.4,4.498,0.02,0.029,0.973,0.036,0.046,22.9,2.15,2257,,1,0,0
10973732,5184.4,91.3,84.8,4.559,0.021,0.033,0.854,0.035,0.041,28.58,2.42,15896,,1,0,
11028002,5851.4,119.6,108.4,4.132,0.052,0.055,1.091,0.1,0.087,15.11,1.31,16332,,1,0,
11027839,5924.6,120.6,119.4,3.924,0.068,0.059,1.226,0.127,0.084,3.2,0.24,56773,1,1,0,
11027822,5123.4,92.5,83.7,4.498,0.041,0.036,0.823,0.051,0.044,32.61,4.02,5596,,1,0,
10973538,5450.2,100.0,91.9,4.465,0.046,0.039,0.799,0.057,0.045,5.13,0.3,887,,1,0,
11027624,5899.9,106.9,102.9,4.016,0.037,0.05,1.273,0.08,0.113,17.96,1.39,580,,1,0,0
11027582,5340.1,94.4,87.2,4.397,0.041,0.04,0.787,0.031,0.027,20.78,1.75,2735,,1,0,
11027463,6303.3,197.0,148.0,4.002,0.278,0.261,1.343,0.36,0.174,21.5,1.62,2805,,1,,
11027679,5171.5,91.6,83.7,4.453,0.048,0.04,0.833,0.05,0.038,36.68,1.5,4019,,1,0,
11027611,5729.2,121.1,110.6,3.914,0.056,0.051,1.152,0.076,0.076,8.92,0.64,21984,,1,0,
11082243,5407.7,100.2,98.6,4.516,0.039,0.055,0.87,0.051,0.059,40.69,6.44,2940,,1,,
11082031,5715.8,104.2,101.0,4.47,0.037,0.05,0.951,0.054,0.064,20.63,2.13,1009,,1,0,
11082022,6050.1,117.4,114.9,4.417,0.04,0.045,0.95,0.06,0.062,4.84,0.26,3762,,1,0,
11082175,5436.0,116.4,110.0,3.91,0.316,0.313,1.133,0.432,0.173,8.15,0.57,86229,,1,,
10917608,5947.6,112.7,110.4,4.398,0.043,0.052,1.027,0.061,0.067,25.04,3.7,3253,,1,0,
10973107,5753.4,115.9,110.1,4.408,0.047,0.047,0.847,0.065,0.056,14.39,1.25,31608,,1,0,
10973115,5546.6,99.7,90.4,4.379,0.041,0.032,0.796,0.051,0.035,13.71,2.1,6980,,1,0,
10972937,6291.6,121.9,123.2,4.314,0.035,0.034,1.173,0.059,0.068,7.04,0.62,1206,,1,0,
10972955,6130.0,116.5,117.6,3.772,0.03,0.034,1.172,0.054,0.057,45.8,2.57,620,,1,0,
10972983,5476.5,110.3,101.6,4.199,0.049,0.047,0.912,0.065,0.057,32.78,4.7,2269,,1,0,
11027188,5290.4,83.7,73.3,4.24,0.052,0.052,0.877,0.038,0.028,20.07,1.53,27346,,1,0,
10973057,6015.5,112.5,114.3,4.161,0.043,0.045,1.08,0.082,0.077,24.16,2.86,1243,,1,0,
