galaxy	Q	x03	et	et_lo	et_hi	D
UGC08550	P	-11.388	0.002	-0.026	0.027	6.52
UGC08699	P	-10.863	-0.011	-0.024	0.023	37.40
UGC08837	P	-11.286	0.216	-0.049	0.063	7.25
UGC09037	P	-11.097	-0.014	-0.037	0.038	73.49
UGC09133	P	-11.361	0.042	-0.007	0.007	35.41
UGC09992	C	-11.354	0.361	-0.138	0.098	9.52
UGC10310	A	-11.125	0.270	-0.136	0.142	16.38
UGC11455	P	-10.651	-0.035	-0.028	0.025	72.22
UGC11557	C	-10.882	0.360	-0.168	0.101	18.22
UGC11820	P	-11.301	-0.015	-0.019	0.019	12.15
UGC11914	A	-9.760	-0.448	-0.037	0.057	9.50
UGC12506	P	-10.921	0.214	-0.044	0.050	117.01
UGC12632	P	-11.405	0.249	-0.085	0.114	13.17
UGC12732	P	-11.443	0.124	-0.055	0.077	13.11
UGCA442	P	-11.393	-0.051	-0.013	0.012	4.20
UGCA444	P	-11.550	0.061	-0.022	0.024	0.95
