Name,PSRJ,P0,P1,F0,Binary,Type,Age,Bsurf,Edot,Dist
"J1810-1441","J1810-1441",0.217213500357,2.387E-17,4.60376541217," "," ",1.44E8,7.2900002E10,9.200000022246966E31,5.88
"J1818-1519","J1818-1519",0.9396900396,4.11E-15,1.0641806956," "," ",3630000.0,1.98999998E12,1.9999999494757498E32,9.98
"J1817-1511","J1817-1511",0.224603837185,1.4313E-15,4.4522836855," "," ",2490000.0,5.7400001E11,5.000000237487255E33,11.58
"J1816-1446","J1816-1446",0.594499815819,1.3261E-15,1.6820863075," "," ",7100000.0,8.9800003E11,2.499999936844687E32,8.98
"J1819-1458","J1819-1458",4.2631640329,5.75171E-13,0.2345675635," ","RRAT,HE",117000.0,5.0100001E13,2.9000000722589896E32,3.81
"J1818-1448","J1818-1448",0.28137130037,6.15E-15,3.5540227404," "," ",725000.0,1.33000004E12,1.0999999940395352E34,7.96
"J1821-1432","J1821-1432",1.91513066964,5.373E-15,0.52215758217," "," ",5650000.0,3.24999997E12,3.000000106112565E31,6.95
"J1821-1419","J1821-1419",1.6560095697,8.945E-13,0.6038612447," "," ",29300.0,3.8900001E13,7.800000021234152E33,11.93
"B1815-14","J1818-1422",0.2914894606391,2.035737E-15,3.430655769877," "," ",2270000.0,7.7999997E11,3.1999999191611997E33,8.1
"J1819-1408","J1819-1408",1.7884904528,2.59E-15,0.5591307454," "," ",1.09E7,2.17999999E12,1.7999999499807014E31,12.45
"J1805-1504","J1805-1504",1.1812692298,2.7E-16,0.84654706542," "," ",6.84E7,5.7500002E11,6.600000119760805E30,5.3
"J1809-1429","J1809-1429",0.895285284345,5.24E-15,1.116962400126," "," ",2710000.0,2.19E12,2.9000000722589896E32,12.01
"J1801-1417","J1801-1417",0.00362509666012,5.31E-21,275.85471333795," "," ",1.08E10,1.4E8,4.4000000343658016E33,1.8
"J1813-1246","J1813-1246",0.048072246759,1.75637E-14,20.802023359," ","NRAD",43400.0,9.3000001E11,6.200000047683714E36,
"B1740-13","J1743-1351",0.405336948592,4.7752E-16,2.46708325869," "," ",1.34E7,4.44999991E11,2.800000038405414E32,4.85
"J1753-12","J1753-12",0.405454,,2.466371," ","RRAT",,,,2.17
"B1745-12","J1748-1300",0.3941333466126,1.212692E-15,2.537212363771," "," ",5150000.0,6.9999998E11,7.799999730195849E32,3.64
"B1804-12","J1806-1154",0.522618385775,1.40877E-15,1.913442058714," "," ",5880000.0,8.6800001E11,3.899999865097924E32,3.56
"J1759-1029","J1759-1029",2.5122628118,1.574E-14,0.39804752723," "," ",2530000.0,6.3599998E12,3.9000001379463347E31,3.77
"B1820-14","J1822-1400",0.214771109789,9.0689E-16,4.65611972198," "," ",3750000.0,4.46999986E11,3.600000054575502E33,7.77
"J1824-1350","J1824-1350",1.39659854604,6.07E-16,0.71602537668," "," ",3.65E7,9.3199997E11,8.800000159681074E30,7.06
"J1823-1347","J1823-1347",0.61710720555,9.6E-15,1.6204639826," "," ",1020000.0,2.45999993E12,1.5999999595805998E33,11.14
"B1817-13","J1820-1346",0.921459731325,4.49522E-15,1.085234618514," "," ",3250000.0,2.06000003E12,2.3000000510364764E32,9.63
"B1823-13","J1826-1334",0.1014867942076,7.5251738E-14,9.85349875132," ","HE",21400.0,2.79999991E12,2.8000000119209283E36,4.12
