Galaksi,Sinif,N,A_rms,B_rms,kazanc_yuzde,A_dis_sapma_yuzde,B_dis_sapma_yuzde,A_carpan,B_carpan
UGC06446,Sd,17,25.65,17.91,-30.2,-19.2,-15.1,3.0899,2.3464
UGC06930,Sd,10,20.07,12.66,-36.9,-7.5,-5.6,1.5737,1.3917
UGC07603,Sd,12,16.25,13.85,-14.7,-29.6,-27.2,6.0457,4.9938
UGC08550,Sd,11,16.28,10.79,-33.7,-24.7,-18.4,4.2028,2.7405
F583-1,Sdm–Sm,25,28.05,16.10,-42.6,-42.3,-24.9,18.3496,3.9872
IC2574,Sdm–Sm,34,6.44,3.91,-39.2,-8.4,+2.3,1.6098,0.8883
NGC0055,Sdm–Sm,21,2.98,5.04,+69.0,+1.3,+2.6,0.9252,0.8614
NGC3109,Sdm–Sm,25,15.91,12.15,-23.6,-31.3,-26.3,6.1026,4.2554
UGC00128,Sdm–Sm,22,30.27,20.93,-30.9,-10.8,-11.0,1.7190,1.7405
UGC00191,Sdm–Sm,9,19.80,11.78,-40.5,-21.8,-14.0,4.1384,2.2797
UGC01281,Sdm–Sm,25,10.47,6.05,-42.2,-25.2,-15.5,4.7382,2.3667
UGC02259,Sdm–Sm,8,30.19,25.22,-16.5,-26.7,-24.3,5.1253,4.2431
UGC04325,Sdm–Sm,8,30.52,25.17,-17.5,-25.9,-23.4,5.7617,4.5980
UGC04499,Sdm–Sm,9,10.62,4.32,-59.4,-8.0,-4.0,1.6134,1.2614
UGC05716,Sdm–Sm,12,18.82,11.98,-36.3,-13.6,-10.4,2.0799,1.7219
UGC05750,Sdm–Sm,11,13.88,7.54,-45.7,-16.8,+0.2,2.8733,0.9916
UGC05986,Sdm–Sm,15,30.26,26.38,-12.8,-29.3,-27.6,6.6239,5.7063
UGC06399,Sdm–Sm,9,19.69,14.38,-27.0,-22.6,-19.7,4.0612,3.2557
UGC06818,Sdm–Sm,8,9.51,10.14,+6.6,-18.1,-14.4,2.9960,2.3100
UGC06917,Sdm–Sm,11,26.21,19.13,-27.0,-21.0,-17.0,4.0892,2.9443
UGC07089,Sdm–Sm,12,3.40,4.71,+38.7,-2.5,+1.0,1.1657,0.9456
UGC07125,Sdm–Sm,13,14.91,15.90,+6.6,+30.5,+32.6,0.2046,0.1881
UGC07261,Sdm–Sm,7,18.19,13.02,-28.4,-16.5,-12.3,2.8055,2.0758
UGC07399,Sdm–Sm,10,41.41,37.00,-10.6,-43.2,-40.5,17.5146,13.2691
UGC07524,Sdm–Sm,31,16.66,7.28,-56.3,-14.9,-7.4,2.4755,1.5146
UGC08490,Sdm–Sm,30,22.68,18.73,-17.4,-25.7,-23.4,4.2889,3.6598
UGC10310,Sdm–Sm,7,16.23,9.79,-39.7,-5.0,-2.1,1.3498,1.1319
UGC11557,Sdm–Sm,12,18.05,25.69,+42.4,+22.5,+28.7,0.1223,0.0849
UGC11820,Sdm–Sm,10,12.74,5.79,-54.6,-9.6,-0.4,1.7025,1.0193
UGC12632,Sdm–Sm,15,18.20,9.58,-47.4,-12.6,-6.1,2.0681,1.3884
UGC12732,Sdm–Sm,16,25.71,14.13,-45.0,-20.8,-11.2,3.4383,1.8297
UGCA442,Sdm–Sm,8,8.05,7.20,-10.6,-16.1,-17.2,2.3447,2.5152
CamB,Im,9,9.42,11.32,+20.2,+65.8,+69.3,0.0164,0.0147
D564-8,Im,6,1.07,1.76,+64.0,-2.5,+1.0,1.1250,0.9552
