Table 2 
Fitted Model Parameters


Galaxy	angl0x _0angr0	e	e _env	D (Mpc)	i (deg)	Upsi_gas	Upsi_disk	Upsi_bulge	
NGC3741	-11.765	$-{0.015}_{-0.009}^{+0.009}$	${0.032}_{-0.003}^{+0.008}$	${3.10}_{-0.15}^{+0.16}$	${69.55}_{-3.86}^{+3.93}$	${1.35}_{-0.12}^{+0.13}$	${0.34}_{-0.06}^{+0.06}$	cdots	
NGC3769	-10.927	${0.022}_{-0.018}^{+0.019}$	${0.037}_{-0.003}^{+0.003}$	${17.36}_{-1.59}^{+1.75}$	${70.20}_{-1.97}^{+1.97}$	${1.41}_{-0.12}^{+0.14}$	${0.38}_{-0.06}^{+0.07}$	cdots	
NGC3877	-10.082	${0.253}_{-0.163}^{+0.158}$	${0.038}_{-0.005}^{+0.005}$	${17.39}_{-1.81}^{+2.01}$	${76.04}_{-1.00}^{+1.00}$	${1.39}_{-0.12}^{+0.13}$	${0.50}_{-0.07}^{+0.08}$	cdots	
NGC3893	-10.297	$-{0.029}_{-0.046}^{+0.047}$	${0.037}_{-0.005}^{+0.005}$	${18.33}_{-1.86}^{+2.07}$	${49.72}_{-1.91}^{+1.91}$	${1.41}_{-0.12}^{+0.14}$	${0.45}_{-0.06}^{+0.07}$	cdots	
NGC3917	-10.601	${0.121}_{-0.055}^{+0.067}$	${0.040}_{-0.005}^{+0.012}$	${19.41}_{-2.05}^{+2.32}$	${79.34}_{-1.96}^{+1.97}$	${1.39}_{-0.12}^{+0.13}$	${0.61}_{-0.08}^{+0.10}$	cdots	
NGC3949	-9.859	${0.005}_{-0.168}^{+0.228}$	${0.036}_{-0.003}^{+0.008}$	${17.03}_{-1.86}^{+2.08}$	${55.03}_{-1.97}^{+1.97}$	${1.40}_{-0.12}^{+0.13}$	${0.43}_{-0.06}^{+0.07}$	cdots	
NGC3953	-9.950	${0.393}_{-0.120}^{+0.077}$	${0.040}_{-0.004}^{+0.005}$	${18.62}_{-1.93}^{+2.15}$	${62.11}_{-0.99}^{+0.99}$	${1.41}_{-0.12}^{+0.14}$	${0.59}_{-0.07}^{+0.08}$	cdots	
NGC3972	-10.494	$-{0.087}_{-0.063}^{+0.072}$	${0.047}_{-0.006}^{+0.003}$	${17.15}_{-1.93}^{+2.18}$	${77.02}_{-1.00}^{+1.00}$	${1.38}_{-0.12}^{+0.13}$	${0.46}_{-0.08}^{+0.09}$	cdots	
NGC3992	-10.447	${0.101}_{-0.031}^{+0.034}$	${0.033}_{-0.003}^{+0.007}$	${24.46}_{-1.93}^{+2.10}$	${56.76}_{-1.92}^{+1.93}$	${1.42}_{-0.12}^{+0.14}$	${0.68}_{-0.08}^{+0.09}$	cdots	
NGC4010	-10.623	$-{0.053}_{-0.047}^{+0.050}$	${0.039}_{-0.005}^{+0.007}$	${16.33}_{-1.80}^{+2.03}$	${88.80}_{-0.91}^{+0.75}$	${1.41}_{-0.12}^{+0.14}$	${0.36}_{-0.06}^{+0.07}$	cdots	
NGC4013	-10.686	$-{0.046}_{-0.015}^{+0.014}$	${0.045}_{-0.006}^{+0.002}$	${14.40}_{-1.24}^{+1.34}$	${88.80}_{-0.91}^{+0.75}$	${1.38}_{-0.12}^{+0.13}$	${0.48}_{-0.07}^{+0.08}$	${0.82}_{-0.16}^{+0.20}$	
NGC4051	-10.191	${0.338}_{-0.155}^{+0.113}$	${0.042}_{-0.005}^{+0.008}$	${17.13}_{-1.83}^{+2.04}$	${49.18}_{-2.78}^{+2.82}$	${1.39}_{-0.12}^{+0.13}$	${0.48}_{-0.07}^{+0.08}$	cdots	
NGC4068	-11.173	${0.344}_{-0.117}^{+0.103}$	${0.033}_{-0.003}^{+0.006}$	${4.36}_{-0.21}^{+0.22}$	${47.34}_{-4.59}^{+4.47}$	${1.38}_{-0.12}^{+0.13}$	${0.43}_{-0.08}^{+0.09}$	cdots	
NGC4085	-10.142	$-{0.146}_{-0.086}^{+0.106}$	${0.044}_{-0.006}^{+0.003}$	${15.26}_{-1.69}^{+1.90}$	${81.88}_{-2.02}^{+2.01}$	${1.39}_{-0.12}^{+0.13}$	${0.33}_{-0.05}^{+0.06}$	cdots	
NGC4088	-10.303	${0.044}_{-0.048}^{+0.053}$	${0.042}_{-0.005}^{+0.008}$	${14.87}_{-1.51}^{+1.68}$	${68.71}_{-2.00}^{+2.00}$	${1.40}_{-0.12}^{+0.13}$	${0.35}_{-0.05}^{+0.05}$	cdots	
NGC4100	-10.442	${0.092}_{-0.027}^{+0.028}$	${0.042}_{-0.007}^{+0.005}$	${19.54}_{-1.92}^{+2.14}$	${73.69}_{-1.95}^{+1.95}$	${1.40}_{-0.12}^{+0.13}$	${0.57}_{-0.07}^{+0.08}$	cdots	
