Table 2 
Fitted Model Parameters


Galaxy	angl0x _0angr0	e	e _env	D (Mpc)	i (deg)	Upsi_gas	Upsi_disk	Upsi_bulge	
UGC06667	-11.287	$-{0.117}_{-0.023}^{+0.022}$	${0.037}_{-0.002}^{+0.007}$	${15.64}_{-1.66}^{+1.82}$	${88.80}_{-0.91}^{+0.75}$	${1.31}_{-0.11}^{+0.12}$	${0.52}_{-0.11}^{+0.14}$	cdots	
UGC06786	-10.094	$-{0.028}_{-0.012}^{+0.012}$	${0.053}_{-0.007}^{+0.002}$	${46.17}_{-3.99}^{+4.36}$	${68.02}_{-2.70}^{+2.70}$	${1.49}_{-0.13}^{+0.14}$	${0.36}_{-0.04}^{+0.05}$	${0.42}_{-0.04}^{+0.04}$	
UGC06787	-10.632	${0.302}_{-0.025}^{+0.029}$	${0.035}_{-0.003}^{+0.006}$	${106.11}_{-7.52}^{+8.22}$	${72.66}_{-2.50}^{+2.51}$	${3.25}_{-0.25}^{+0.26}$	${0.17}_{-0.01}^{+0.01}$	${0.08}_{-0.01}^{+0.01}$	
UGC06818	-11.263	$-{0.001}_{-0.035}^{+0.040}$	${0.041}_{-0.006}^{+0.005}$	${15.71}_{-1.93}^{+2.23}$	${74.65}_{-3.03}^{+3.04}$	${1.42}_{-0.13}^{+0.14}$	${0.31}_{-0.06}^{+0.07}$	cdots	
UGC06917	-10.831	${0.001}_{-0.043}^{+0.047}$	${0.038}_{-0.004}^{+0.003}$	${17.98}_{-1.97}^{+2.23}$	${56.50}_{-1.95}^{+1.95}$	${1.36}_{-0.12}^{+0.13}$	${0.55}_{-0.08}^{+0.09}$	cdots	
UGC06923	-10.790	${0.042}_{-0.072}^{+0.092}$	${0.052}_{-0.008}^{+0.007}$	${17.32}_{-2.06}^{+2.36}$	${65.05}_{-2.00}^{+1.99}$	${1.38}_{-0.12}^{+0.13}$	${0.45}_{-0.08}^{+0.10}$	cdots	
UGC06930	-11.033	${0.259}_{-0.106}^{+0.130}$	${0.034}_{-0.002}^{+0.007}$	${18.30}_{-2.10}^{+2.35}$	${38.76}_{-3.80}^{+3.84}$	${1.36}_{-0.12}^{+0.13}$	${0.58}_{-0.09}^{+0.11}$	cdots	
UGC06983	-10.952	${0.059}_{-0.036}^{+0.040}$	${0.051}_{-0.009}^{+0.007}$	${19.85}_{-2.06}^{+2.31}$	${49.43}_{-0.99}^{+0.98}$	${1.33}_{-0.11}^{+0.13}$	${0.77}_{-0.10}^{+0.11}$	cdots	
UGC07089	-11.166	${0.102}_{-0.055}^{+0.073}$	${0.042}_{-0.001}^{+0.006}$	${17.11}_{-2.12}^{+2.44}$	${80.16}_{-2.98}^{+2.97}$	${1.40}_{-0.12}^{+0.14}$	${0.40}_{-0.07}^{+0.09}$	cdots	
UGC07125	-11.386	${0.132}_{-0.050}^{+0.075}$	${0.052}_{-0.008}^{+0.010}$	${13.56}_{-2.31}^{+3.20}$	${87.98}_{-2.19}^{+1.42}$	${1.27}_{-0.11}^{+0.12}$	${0.69}_{-0.09}^{+0.11}$	cdots	
UGC07151	-10.712	${0.163}_{-0.056}^{+0.071}$	${0.037}_{-0.003}^{+0.007}$	${6.97}_{-0.32}^{+0.34}$	${88.04}_{-2.14}^{+1.38}$	${1.35}_{-0.12}^{+0.13}$	${0.71}_{-0.09}^{+0.10}$	cdots	
UGC07232	-10.680	$-{0.024}_{-0.082}^{+0.104}$	${0.033}_{-0.003}^{+0.007}$	${2.82}_{-0.16}^{+0.17}$	${59.49}_{-4.97}^{+4.99}$	${1.37}_{-0.12}^{+0.13}$	${0.46}_{-0.09}^{+0.12}$	cdots	
UGC07261	-11.097	${0.258}_{-0.143}^{+0.152}$	${0.044}_{-0.004}^{+0.011}$	${12.39}_{-2.51}^{+3.13}$	${41.87}_{-6.43}^{+6.87}$	${1.36}_{-0.12}^{+0.13}$	${0.49}_{-0.08}^{+0.10}$	cdots	
UGC07323	-10.898	${0.150}_{-0.140}^{+0.180}$	${0.037}_{-0.003}^{+0.008}$	${8.41}_{-1.91}^{+2.19}$	${48.55}_{-2.90}^{+2.89}$	${1.41}_{-0.12}^{+0.13}$	${0.43}_{-0.08}^{+0.10}$	cdots	
UGC07399	-10.920	$-{0.024}_{-0.040}^{+0.041}$	${0.040}_{-0.005}^{+0.007}$	${14.30}_{-2.15}^{+2.56}$	${57.55}_{-2.79}^{+2.83}$	${1.38}_{-0.12}^{+0.13}$	${0.61}_{-0.11}^{+0.13}$	cdots	
UGC07524	-11.181	${0.169}_{-0.052}^{+0.064}$	${0.037}_{-0.004}^{+0.006}$	${4.73}_{-0.23}^{+0.24}$	${49.80}_{-2.77}^{+2.79}$	${1.24}_{-0.11}^{+0.11}$	${0.90}_{-0.12}^{+0.14}$	cdots	
UGC07559 ^a	cdots	${0.229}_{-0.066}^{+0.092}$	${0.036}_{-0.004}^{+0.007}$	${4.98}_{-0.24}^{+0.25}$	${61.79}_{-2.96}^{+2.94}$	${1.37}_{-0.12}^{+0.13}$	${0.48}_{-0.10}^{+0.12}$	cdots	
UGC07577 ^a	cdots	${0.429}_{-0.079}^{+0.051}$	${0.033}_{-0.003}^{+0.007}$	${2.55}_{-0.12}^{+0.13}$	${62.77}_{-2.93}^{+2.95}$	${1.32}_{-0.11}^{+0.12}$	${0.42}_{-0.07}^{+0.08}$	cdots	
UGC07603	-10.997	$-{0.068}_{-0.034}^{+0.033}$	${0.036}_{-0.004}^{+0.008}$	${4.69}_{-0.69}^{+0.81}$	${78.38}_{-2.94}^{+2.94}$	${1.39}_{-0.12}^{+0.13}$	${0.44}_{-0.08}^{+0.10}$	cdots	
UGC07690	-10.824	${0.249}_{-0.111}^{+0.136}$	${0.037}_{-0.003}^{+0.008}$	${8.91}_{-1.60}^{+1.92}$	${45.30}_{-4.18}^{+4.32}$	${1.36}_{-0.12}^{+0.13}$	${0.53}_{-0.09}^{+0.12}$	cdots	
UGC07866 ^a	cdots	${0.230}_{-0.094}^{+0.124}$	${0.036}_{-0.003}^{+0.006}$	${4.58}_{-0.22}^{+0.23}$	${47.67}_{-4.64}^{+4.57}$	${1.35}_{-0.12}^{+0.13}$	${0.53}_{-0.10}^{+0.13}$	cdots	
UGC08286	-10.832	${0.021}_{-0.014}^{+0.015}$	${0.039}_{-0.003}^{+0.006}$	${6.60}_{-0.20}^{+0.21}$	${88.10}_{-2.07}^{+1.34}$	${1.32}_{-0.11}^{+0.12}$	${1.14}_{-0.08}^{+0.09}$	cdots	
UGC08490	-11.162	${0.035}_{-0.015}^{+0.016}$	${0.036}_{-0.004}^{+0.006}$	${5.21}_{-0.43}^{+0.47}$	${55.39}_{-2.53}^{+2.57}$	${1.37}_{-0.12}^{+0.13}$	${0.67}_{-0.09}^{+0.11}$	cdots	
UGC08550	-11.251	${0.002}_{-0.026}^{+0.027}$	${0.038}_{-0.002}^{+0.008}$	${6.53}_{-0.86}^{+1.01}$	${88.00}_{-2.17}^{+1.40}$	${1.28}_{-0.11}^{+0.12}$	${0.72}_{-0.11}^{+0.13}$	cdots	
UGC08699	-10.120	$-{0.010}_{-0.024}^{+0.023}$	${0.019}_{-0.011}^{+0.034}$	${37.47}_{-4.05}^{+4.57}$	${80.75}_{-5.90}^{+5.30}$	${1.38}_{-0.12}^{+0.13}$	${0.63}_{-0.10}^{+0.12}$	${0.68}_{-0.07}^{+0.08}$	
UGC08837	-11.296	${0.243}_{-0.060}^{+0.079}$	${0.041}_{-0.004}^{+0.006}$	${7.25}_{-0.34}^{+0.36}$	${80.76}_{-4.66}^{+4.46}$	${1.44}_{-0.12}^{+0.13}$	${0.40}_{-0.07}^{+0.08}$	cdots	
UGC09037	-10.734	$-{0.012}_{-0.036}^{+0.038}$	${0.020}_{-0.003}^{+0.001}$	${73.65}_{-6.22}^{+6.81}$	${63.86}_{-4.73}^{+4.85}$	${1.45}_{-0.13}^{+0.14}$	${0.22}_{-0.03}^{+0.03}$	cdots	
UGC09133	-9.810	${0.043}_{-0.007}^{+0.007}$	${0.022}_{-0.004}^{+0.005}$	${35.41}_{-3.03}^{+3.55}$	${64.82}_{-4.40}^{+4.56}$	${1.50}_{-0.13}^{+0.15}$	${0.83}_{-0.09}^{+0.09}$	${0.72}_{-0.04}^{+0.04}$	
UGC09992 ^a	cdots	${0.361}_{-0.143}^{+0.099}$	${0.036}_{-0.002}^{+0.007}$	${9.34}_{-1.95}^{+2.49}$	${34.77}_{-5.66}^{+6.19}$	${1.34}_{-0.12}^{+0.13}$	${0.50}_{-0.10}^{+0.12}$	cdots	
UGC10310	-11.108	${0.285}_{-0.144}^{+0.139}$	${0.036}_{-0.002}^{+0.006}$	${16.04}_{-3.12}^{+3.73}$	${40.49}_{-4.66}^{+4.80}$	${1.31}_{-0.11}^{+0.12}$	${0.66}_{-0.11}^{+0.14}$	cdots	
UGC11455	-9.898	$-{0.033}_{-0.026}^{+0.025}$	${0.025}_{-0.004}^{+0.001}$	${72.36}_{-7.33}^{+8.14}$	${89.33}_{-0.73}^{+0.47}$	${1.42}_{-0.12}^{+0.14}$	${0.46}_{-0.06}^{+0.07}$	cdots	
UGC11557	-10.904	${0.350}_{-0.172}^{+0.108}$	${0.024}_{-0.003}^{+0.002}$	${17.98}_{-3.36}^{+4.18}$	${32.83}_{-5.21}^{+5.63}$	${1.40}_{-0.12}^{+0.13}$	${0.35}_{-0.07}^{+0.09}$	cdots	
UGC11820	-11.305	$-{0.014}_{-0.019}^{+0.019}$	${0.024}_{-0.003}^{+0.001}$	${12.15}_{-2.29}^{+3.01}$	${44.26}_{-5.86}^{+6.72}$	${1.20}_{-0.10}^{+0.11}$	${0.98}_{-0.13}^{+0.15}$	cdots	
UGC11914	-9.346	$-{0.396}_{-0.050}^{+0.052}$	${0.023}_{-0.001}^{+0.003}$	${8.80}_{-1.19}^{+1.43}$	${48.85}_{-3.57}^{+3.68}$	${1.42}_{-0.13}^{+0.14}$	${0.30}_{-0.04}^{+0.05}$	${0.89}_{-0.11}^{+0.12}$	
UGC12506	-10.508	${0.241}_{-0.053}^{+0.064}$	${0.027}_{-0.001}^{+0.003}$	${117.17}_{-9.67}^{+10.52}$	${86.11}_{-3.11}^{+2.48}$	${1.43}_{-0.13}^{+0.14}$	${1.04}_{-0.11}^{+0.13}$	cdots	
UGC12632	-11.304	${0.277}_{-0.099}^{+0.122}$	${0.026}_{-0.001}^{+0.003}$	${13.03}_{-2.35}^{+2.59}$	${49.17}_{-2.77}^{+2.78}$	${1.25}_{-0.10}^{+0.11}$	${1.05}_{-0.14}^{+0.16}$	cdots	
UGC12732	-11.361	${0.136}_{-0.062}^{+0.093}$	${0.023}_{-0.001}^{+0.003}$	${13.22}_{-2.55}^{+3.32}$	${48.25}_{-4.78}^{+4.97}$	${1.26}_{-0.11}^{+0.12}$	${0.86}_{-0.10}^{+0.12}$	cdots	
UGCA442	-11.259	$-{0.050}_{-0.013}^{+0.012}$	${0.031}_{-0.004}^{+0.002}$	${4.20}_{-0.20}^{+0.21}$	${51.17}_{-3.59}^{+3.93}$	${1.29}_{-0.11}^{+0.12}$	${0.45}_{-0.09}^{+0.11}$	cdots	
UGCA444 ^a	cdots	${0.063}_{-0.023}^{+0.026}$	${0.032}_{-0.004}^{+0.006}$	${0.95}_{-0.05}^{+0.05}$	${78.77}_{-3.88}^{+3.86}$	${1.25}_{-0.11}^{+0.12}$	${0.57}_{-0.12}^{+0.15}$	cdots	
Notes. See Figure 1 and Section 2.2 in the published article for the definition of x _0. Here angl0x _0angr0 represents the median of x _0 for the rotation velocities with signal-to-noise ratios > 10.
^a For these galaxies no circular velocities have signal-to-noise ratios > 10. These galaxies are not included in our statistical analyses of EFE.
