Galaksi,Sinif,n_nokta,M_bar_Msun,Sigma_yildiz,N_nukleon,l_omega_etkin_m,l_omega_mikro_m,l_omega_mikro_fm,galaksi_ici_sacilma_dex
UGC07690,Im,7,8.1740e+08,3.3,6.0210e+65,3.0495e+19,3.9301e-14,39.3,0.298
UGC08837,Im,7,7.4380e+08,4.4,3.9343e+65,5.3106e+19,1.1081e-13,110.8,0.202
UGC08550,Sd,11,7.3627e+08,0.2,2.7173e+65,1.4300e+19,2.6629e-14,26.6,0.153
NGC3109,Sdm–Sm,24,6.5850e+08,0.8,3.3095e+65,1.5950e+19,2.7707e-14,27.7,0.152
UGC01281,Sdm–Sm,24,6.4181e+08,3.3,1.5963e+65,1.4941e+19,3.7526e-14,37.5,0.217
DDO168,Im,7,5.8424e+08,1.0,5.0833e+65,2.9096e+19,3.7660e-14,37.7,0.100
D631-7,Im,12,5.4311e+08,0.0,6.0837e+65,2.8965e+19,3.7161e-14,37.2,0.179
UGCA442,Sdm–Sm,8,4.8313e+08,0.4,5.2231e+65,2.4279e+19,3.5820e-14,35.8,0.089
UGC07603,Sd,12,4.5603e+08,1.7,3.7768e+65,1.4044e+19,2.3302e-14,23.3,0.084
DDO064,Im,13,4.1808e+08,4.0,1.3583e+65,1.1799e+19,4.1733e-14,41.7,0.106
UGC05764,Im,10,3.6416e+08,0.9,1.9846e+65,9.2548e+18,2.0789e-14,20.8,0.199
UGC05918,Im,8,3.5901e+08,1.8,1.5483e+65,1.4056e+19,3.5728e-14,35.7,0.122
DDO154,Im,12,3.5862e+08,0.0,2.8115e+65,2.0143e+19,3.8906e-14,38.9,0.068
NGC4068,Im,4,3.2328e+08,4.2,2.1668e+65,4.0294e+19,8.6102e-14,86.1,0.134
NGC3741,Im,21,3.0045e+08,0.0,9.3329e+64,9.1119e+18,2.8517e-14,28.5,0.090
KK98-251,Im,14,2.5993e+08,1.8,1.0004e+65,3.3283e+19,1.2192e-13,121.9,0.139
ESO444-G084,Im,7,2.5403e+08,0.5,2.2163e+65,9.1459e+18,2.1157e-14,21.2,0.069
UGC07559,Im,6,2.0922e+08,1.7,1.0058e+65,2.3779e+19,8.0635e-14,80.6,0.133
UGC07866,Im,7,1.6408e+08,2.9,7.2090e+64,1.8124e+19,6.5226e-14,65.2,0.091
UGC04483,Im,7,4.9830e+07,0.6,3.0272e+64,1.2172e+19,6.1652e-14,61.7,0.115
D564-8,Im,6,4.9437e+07,0.4,3.4746e+64,1.0940e+19,5.9081e-14,59.1,0.128
